DATES,CPI
31/12/1979,1.76754E-10
31/01/1980,1.88447E-10
29/02/1980,1.97148E-10
31/03/1980,2.09052E-10
30/04/1980,2.20103E-10
31/05/1980,2.32655E-10
30/06/1980,2.44998E-10
31/07/1980,2.58584E-10
31/08/1980,2.71373E-10
30/09/1980,2.82853E-10
31/10/1980,3.09669E-10
30/11/1980,3.30334E-10
31/12/1980,3.52183E-10
31/01/1981,3.76263E-10
28/02/1981,4.00349E-10
31/03/1981,4.20253E-10
30/04/1981,4.4741E-10
31/05/1981,4.72284E-10
30/06/1981,4.98344E-10
31/07/1981,5.29519E-10
31/08/1981,5.5862E-10
30/09/1981,5.87986E-10
31/10/1981,6.17841E-10
30/11/1981,6.50411E-10
31/12/1981,6.88951E-10
31/01/1982,7.36936E-10
28/02/1982,7.85844E-10
31/03/1982,8.30736E-10
30/04/1982,8.79644E-10
31/05/1982,9.38215E-10
30/06/1982,1.00487E-09
31/07/1982,1.06876E-09
31/08/1982,1.1326E-09
30/09/1982,1.19014E-09
31/10/1982,1.24301E-09
30/11/1982,1.30875E-09
31/12/1982,1.41091E-09
31/01/1983,1.53282E-09
28/02/1983,1.65327E-09
31/03/1983,1.7747E-09
30/04/1983,1.89147E-09
31/05/1983,2.01409E-09
30/06/1983,2.21309E-09
31/07/1983,2.43613E-09
31/08/1983,2.6581E-09
30/09/1983,2.9319E-09
31/10/1983,3.19185E-09
30/11/1983,3.42755E-09
31/12/1983,3.72496E-09
31/01/1984,4.08512E-09
29/02/1984,4.47324E-09
31/03/1984,4.87308E-09
30/04/1984,5.33812E-09
31/05/1984,5.82123E-09
30/06/1984,6.40802E-09
31/07/1984,7.03118E-09
31/08/1984,7.68854E-09
30/09/1984,8.5918E-09
31/10/1984,9.48854E-09
30/11/1984,1.04873E-08
31/12/1984,1.17434E-08
31/01/1985,1.31244E-08
28/02/1985,1.45504E-08
31/03/1985,1.6029E-08
30/04/1985,1.73427E-08
31/05/1985,1.85906E-08
30/06/1985,2.01697E-08
31/07/1985,2.22498E-08
31/08/1985,2.49308E-08
30/09/1985,2.77024E-08
31/10/1985,3.06434E-08
30/11/1985,3.49252E-08
31/12/1985,4.01895E-08
31/01/1986,4.59657E-08
28/02/1986,5.18108E-08
31/03/1986,5.42823E-08
30/04/1986,5.47057E-08
31/05/1986,5.54711E-08
30/06/1986,5.61767E-08
31/07/1986,5.71375E-08
31/08/1986,5.91677E-08
30/09/1986,6.01828E-08
31/10/1986,6.13281E-08
30/11/1986,6.46719E-08
31/12/1986,7.22063E-08
31/01/1987,8.17437E-08
28/02/1987,9.20736E-08
31/03/1987,1.07148E-07
30/04/1987,1.27612E-07
31/05/1987,1.54987E-07
30/06/1987,1.85537E-07
31/07/1987,2.02625E-07
31/08/1987,2.12493E-07
30/09/1987,2.29028E-07
31/10/1987,2.54725E-07
30/11/1987,2.93135E-07
31/12/1987,3.34612E-07
31/01/1988,3.97819E-07
29/02/1988,4.60276E-07
31/03/1988,5.41287E-07
30/04/1988,6.45699E-07
31/05/1988,7.58177E-07
