DATES,Ryr
18/01/2022,11.501
17/01/2022,11.013
14/01/2022,11.265
13/01/2022,11
12/01/2022,11.315
11/01/2022,11.25
10/01/2022,11.14
07/01/2022,11.06
06/01/2022,11.335
05/01/2022,11.3
04/01/2022,11.3
03/01/2022,11.045
30/12/2021,10.31
29/12/2021,10.44
28/12/2021,10.31
27/12/2021,10.35
23/12/2021,10.63
22/12/2021,10.24
21/12/2021,10.57
20/12/2021,10.665
17/12/2021,10.81
16/12/2021,10.665
15/12/2021,10.57
14/12/2021,10.555
13/12/2021,10.585
10/12/2021,10.52
09/12/2021,10.72
08/12/2021,10.845
07/12/2021,10.995
06/12/2021,11.065
03/12/2021,11.065
02/12/2021,11.34
01/12/2021,11.455
30/11/2021,11.41
29/11/2021,11.595
26/11/2021,11.705
25/11/2021,11.771
24/11/2021,11.644
23/11/2021,11.655
22/11/2021,11.855
19/11/2021,11.735
18/11/2021,11.795
17/11/2021,11.785
16/11/2021,11.675
12/11/2021,11.58
11/11/2021,11.52
10/11/2021,11.515
09/11/2021,11.555
08/11/2021,11.79
06/11/2021,11.841
05/11/2021,11.89
04/11/2021,12.01
03/11/2021,11.875
01/11/2021,12.245
29/10/2021,12.245
28/10/2021,11.935
27/10/2021,11.935
26/10/2021,11.99
25/10/2021,11.965
22/10/2021,12.135
21/10/2021,12.135
20/10/2021,11.65
19/10/2021,11.565
18/10/2021,11.145
15/10/2021,11.055
14/10/2021,10.955
13/10/2021,10.92
11/10/2021,10.905
08/10/2021,11.1
07/10/2021,11.1
06/10/2021,11.02
05/10/2021,11.13
04/10/2021,11.01
01/10/2021,11.015
30/09/2021,11.165
29/09/2021,11.085
28/09/2021,11.14
27/09/2021,11.07
24/09/2021,10.99
23/09/2021,10.9
22/09/2021,10.705
21/09/2021,10.815
20/09/2021,11.075
17/09/2021,11.135
16/09/2021,11.11
15/09/2021,11.1
14/09/2021,10.99
13/09/2021,10.965
10/09/2021,11.11
09/09/2021,11.175
08/09/2021,11.12
06/09/2021,10.88
03/09/2021,10.755
02/09/2021,10.755
01/09/2021,10.54
31/08/2021,10.55
30/08/2021,10.265
27/08/2021,10.255
26/08/2021,10.345
25/08/2021,10.35
24/08/2021,10.62
23/08/2021,10.82
20/08/2021,10.625
19/08/2021,10.69
18/08/2021,10.69
17/08/2021,10.26
16/08/2021,10.12
13/08/2021,10.09
12/08/2021,9.8
11/08/2021,9.64
10/08/2021,9.68
09/08/2021,9.59
06/08/2021,9.59
05/08/2021,9.52
04/08/2021,9.19
03/08/2021,9.29
02/08/2021,9.56
30/07/2021,9.12
29/07/2021,9.335
28/07/2021,9.33
27/07/2021,9.335
26/07/2021,9.265
22/07/2021,9.205
21/07/2021,9.25
20/07/2021,9.205
19/07/2021,9.235
16/07/2021,8.83
15/07/2021,8.96
14/07/2021,9.245
13/07/2021,9.1
12/07/2021,8.91
08/07/2021,9.32
07/07/2021,9.31
06/07/2021,9.38
05/07/2021,9.275
01/07/2021,9.21
30/06/2021,9.115
29/06/2021,9.04
28/06/2021,9.11
25/06/2021,9.195
24/06/2021,9.17
23/06/2021,9.275
22/06/2021,9.325
21/06/2021,9.325
18/06/2021,9.05
17/06/2021,8.78
16/06/2021,9.04
15/06/2021,9.19
14/06/2021,9.235
11/06/2021,9.195
10/06/2021,9.04
09/06/2021,9.04
08/06/2021,9.005
07/06/2021,9.01
04/06/2021,8.93
02/06/2021,9.18
01/06/2021,8.71
31/05/2021,8.77
28/05/2021,8.87
27/05/2021,9.195
26/05/2021,9.405
25/05/2021,9.4
24/05/2021,9.495
21/05/2021,9.455
20/05/2021,9.48
19/05/2021,9.55
18/05/2021,9.475
17/05/2021,9.38
14/05/2021,9.435
13/05/2021,9.425
12/05/2021,9.45
11/05/2021,9.255
10/05/2021,9.295
07/05/2021,9.225
06/05/2021,9.33
05/05/2021,9.26
04/05/2021,9.345
03/05/2021,9.22
30/04/2021,9.125
29/04/2021,9.075
28/04/2021,9.075
27/04/2021,9.1
26/04/2021,9.145
23/04/2021,9.065
22/04/2021,9.33
20/04/2021,9.33
19/04/2021,9.165
16/04/2021,9.12
15/04/2021,9.1
14/04/2021,9.59
13/04/2021,9.18
12/04/2021,9.16
09/04/2021,9.15
08/04/2021,9.17
07/04/2021,9.615
06/04/2021,9.405
