DATES,STX
08/02/2022,112234
07/02/2022,111996
04/02/2022,112245
03/02/2022,111696
02/02/2022,111894
01/02/2022,113228
31/01/2022,112144
28/01/2022,111910
27/01/2022,112612
26/01/2022,111289
25/01/2022,110204
24/01/2022,107937
21/01/2022,108942
20/01/2022,109102
19/01/2022,108013
18/01/2022,106668
17/01/2022,106374
14/01/2022,106928
13/01/2022,105530
12/01/2022,105686
11/01/2022,103779
10/01/2022,101945
07/01/2022,102719
06/01/2022,101561
05/01/2022,101006
04/01/2022,103514
03/01/2022,103922
30/12/2021,104822
29/12/2021,104107
28/12/2021,104864
27/12/2021,105554
23/12/2021,104891
22/12/2021,105244
21/12/2021,105500
20/12/2021,105020
17/12/2021,107201
16/12/2021,108326
15/12/2021,107431
14/12/2021,106760
13/12/2021,107383
10/12/2021,107758
09/12/2021,106291
08/12/2021,108096
07/12/2021,107558
06/12/2021,106859
03/12/2021,105070
02/12/2021,104466
01/12/2021,100775
30/11/2021,101915
29/11/2021,102814
26/11/2021,102224
25/11/2021,105811
24/11/2021,104514
23/11/2021,103654
22/11/2021,102122
19/11/2021,103035
18/11/2021,102426
17/11/2021,102948
16/11/2021,104404
12/11/2021,106335
11/11/2021,107595
10/11/2021,105968
09/11/2021,105535
08/11/2021,104781
05/11/2021,104824
04/11/2021,103412
03/11/2021,105617
01/11/2021,105551
29/10/2021,103501
28/10/2021,105705
27/10/2021,106363
26/10/2021,106420
25/10/2021,108715
22/10/2021,106296
21/10/2021,107735
20/10/2021,110786
19/10/2021,110673
18/10/2021,114428
15/10/2021,114648
14/10/2021,113185
13/10/2021,113456
11/10/2021,112180
08/10/2021,112833
07/10/2021,110585
06/10/2021,110560
05/10/2021,110458
04/10/2021,110393
01/10/2021,112900
30/09/2021,110979
29/09/2021,111107
28/09/2021,110124
27/09/2021,113583
24/09/2021,113283
23/09/2021,114064
22/09/2021,112282
21/09/2021,110250
20/09/2021,108844
17/09/2021,111439
16/09/2021,113794
15/09/2021,115063
14/09/2021,116181
13/09/2021,116404
10/09/2021,114286
09/09/2021,115361
08/09/2021,113413
06/09/2021,117869
03/09/2021,116933
02/09/2021,116677
01/09/2021,119396
31/08/2021,118781
30/08/2021,119740
27/08/2021,120678
26/08/2021,118724
25/08/2021,120818
24/08/2021,120211
23/08/2021,117472
20/08/2021,118053
19/08/2021,117165
