DATES,rEER
197912,81.12910748
198001,78.35199386
198002,79.39977781
198003,82.47241549
198004,83.18273821
198005,82.01822329
198006,81.86840016
198007,83.11898989
198008,84.58135124
198009,83.86498017
198010,88.01644027
198011,90.80962493
198012,93.13068805
198101,93.21135948
198102,97.40969283
198103,96.31374232
198104,98.09449953
198105,99.31780659
198106,101.5805474
198107,102.2111689
198108,101.989271
198109,98.93314316
198110,96.83443234
198111,94.7612306
198112,94.58957334
198201,97.59779986
198202,101.2034076
198203,103.2381929
198204,104.6751603
198205,104.0523496
198206,108.7433019
198207,110.842117
198208,111.4856558
198209,110.3466342
198210,108.3182287
198211,107.6596238
198212,105.7453425
198301,106.0234534
198302,96.15243171
198303,81.63179735
198304,80.15315472
198305,78.00072061
198306,79.35595066
198307,79.45654453
198308,77.50003288
198309,77.94586625
198310,74.55056858
198311,72.88724958
198312,73.56273461
198401,75.22286307
198402,72.94050893
198403,69.00016046
198404,69.48644486
198405,70.80176604
198406,71.84746061
198407,72.56022589
198408,72.40151594
198409,74.47700116
198410,74.41765055
198411,73.00378226
198412,75.36038128
198501,76.2851497
198502,76.9620199
198503,76.73793536
198504,70.56864008
198505,68.28090694
198506,67.05639457
198507,66.55974452
198508,68.05004124
198509,68.50561385
198510,66.19267911
198511,68.11325987
198512,69.63542945
198601,68.88676135
198602,65.67676857
198603,63.75301223
198604,64.25487665
198605,64.11671524
198606,65.01819475
198607,65.04838778
198608,66.23522767
198609,67.11614264
198610,67.40383073
198611,70.92257157
198612,76.07272346
198701,77.09060895
198702,74.39426573
198703,74.30499374
198704,76.98407046
198705,71.26282284
198706,67.12124119
198707,64.84788011
198708,64.55080694
198709,64.60728358
198710,67.01513338
198711,67.04526959
198712,65.80475546
198801,68.25793193
198802,68.05191003
198803,66.92375199
198804,67.41253776
198805,66.05454731
198806,69.01397448
198807,70.92732352
198808,70.11105238
198809,72.69506496
198810,70.796752
198811,68.9315947
198812,69.16858213
198901,71.77446566
198902,75.85082561
198903,81.42362182
198904,88.17746849
198905,99.3742712
198906,104.8851164
198907,91.02893403
198908,93.97334439
198909,98.31587826
198910,97.68310686
198911,102.8070508
198912,103.9293519
199001,110.6657137
199002,117.5930325
199003,134.3050267
199004,121.2632608
199005,117.5705327
199006,119.9182721
199007,113.5975398
199008,115.6377751
199009,123.7496126
199010,109.1880474
199011,99.08180813
199012,92.23427198
199101,71.13017683
199102,92.83478477
199103,103.8849015
199104,101.5713133
199105,100.8016475
199106,104.2924439
199107,105.6163129
199108,106.7929819
199109,105.0122454
199110,91.80730323
199111,88.66821839
199112,83.38574695
199201,83.8363655
199202,85.23817718
199203,85.36860543
199204,83.97742203
199205,86.46981157
199206,85.15979139
199207,83.2055181
199208,82.38495046
199209,83.25808057
199210,84.99827409
199211,85.72392675
199212,87.10881075
199301,90.84709531
199302,89.7736801
199303,90.37377265
199304,88.22340729
199305,87.03335919
199306,87.69026236
199307,89.23926015
199308,89.73428924
199309,89.16608877
199310,88.32697546
199311,88.98105743
199312,89.71939203
199401,91.62087702
199402,90.52662775
199403,94.15739721
199404,90.14188198
199405,89.70354523
199406,90.41507649
199407,84.76816543
199408,89.27539643
199409,93.33797462
199410,96.82398605
199411,100.4160734
199412,102.5828833
199501,103.9251798
199502,104.8209365
199503,98.1656204
199504,96.24826487
199505,100.1790023
