DATES,STX
16/02/2022,1760.5
15/02/2022,1760.5
14/02/2022,1760.5
11/02/2022,1760.5
10/02/2022,1760.5
09/02/2022,1760.5
08/02/2022,1760.5
07/02/2022,1760.5
04/02/2022,1760.5
03/02/2022,1760.5
02/02/2022,1760.5
01/02/2022,1760.5
31/01/2022,1760.5
28/01/2022,1760.5
27/01/2022,1760.5
26/01/2022,1760.5
25/01/2022,1760.5
24/01/2022,1760.5
21/01/2022,1760.5
20/01/2022,1760.5
19/01/2022,1760.5
18/01/2022,1760.5
17/01/2022,1760.5
14/01/2022,1760.5
13/01/2022,1760.5
12/01/2022,1760.5
11/01/2022,1760.5
10/01/2022,1760.5
07/01/2022,1760.5
06/01/2022,1760.5
05/01/2022,1760.5
04/01/2022,1760.5
03/01/2022,1760.5
30/12/2021,1760.5
29/12/2021,1760.5
28/12/2021,1760.5
27/12/2021,1760.5
24/12/2021,1760.5
23/12/2021,1760.5
22/12/2021,1760.5
21/12/2021,1760.5
20/12/2021,1760.5
17/12/2021,1760.5
16/12/2021,1760.5
15/12/2021,1760.5
14/12/2021,1760.5
13/12/2021,1760.5
10/12/2021,1740.5
09/12/2021,1740.5
07/12/2021,1740.5
06/12/2021,1719.5
03/12/2021,1719.5
02/12/2021,1719.5
01/12/2021,1719.5
30/11/2021,1719.5
29/11/2021,1719.5
26/11/2021,1719.5
25/11/2021,1719.5
24/11/2021,1719.5
23/11/2021,1719.5
22/11/2021,1719.5
19/11/2021,1719.5
18/11/2021,1719.5
17/11/2021,1729.900024
16/11/2021,1800
15/11/2021,1800
12/11/2021,1800
11/11/2021,1800
10/11/2021,1800
09/11/2021,1800
08/11/2021,1800
05/11/2021,1800
04/11/2021,1799
03/11/2021,1799
02/11/2021,1799
29/10/2021,1799
28/10/2021,1799
27/10/2021,1799
26/10/2021,1799
25/10/2021,1799
22/10/2021,1799
21/10/2021,1799
20/10/2021,1799
19/10/2021,1799
18/10/2021,1799
15/10/2021,1799
14/10/2021,1799
13/10/2021,1799
12/10/2021,1799
08/10/2021,1799
07/10/2021,1799
06/10/2021,1799
05/10/2021,1799
04/10/2021,1799
01/10/2021,1799
30/09/2021,1799
29/09/2021,1799
28/09/2021,1799
27/09/2021,1799
24/09/2021,1799
23/09/2021,1799
22/09/2021,1799
21/09/2021,1799
20/09/2021,1799
16/09/2021,1799
15/09/2021,1799
14/09/2021,1799
13/09/2021,1799
10/09/2021,1799
09/09/2021,1799
08/09/2021,1799
07/09/2021,1799.800049
06/09/2021,1799.800049
03/09/2021,1799.800049
02/09/2021,1799.800049
01/09/2021,1799
31/08/2021,1799
30/08/2021,1799
27/08/2021,1799
26/08/2021,1799
25/08/2021,1799
24/08/2021,1799
23/08/2021,1836.599976
20/08/2021,1836.599976
19/08/2021,1836.599976
18/08/2021,1836.599976
17/08/2021,1836.599976
16/08/2021,1836.599976
13/08/2021,1836.599976
12/08/2021,1836.599976
11/08/2021,1913.199951
10/08/2021,1913.199951
09/08/2021,1913.199951
06/08/2021,1913.199951
05/08/2021,1913.199951
04/08/2021,1913.199951
03/08/2021,1913.199951
02/08/2021,1913.199951
30/07/2021,1913.199951
29/07/2021,1913.199951
28/07/2021,1913.199951
27/07/2021,1913.199951
26/07/2021,1913.199951
23/07/2021,1913.199951
22/07/2021,1913.199951
21/07/2021,1913.199951
20/07/2021,1913.199951
19/07/2021,1913.199951
15/07/2021,1913.199951
14/07/2021,1913.199951
13/07/2021,1920.099976
12/07/2021,1950.300049
09/07/2021,1950.300049
08/07/2021,1950.300049
07/07/2021,1932.800049
06/07/2021,1932.800049
05/07/2021,1943.900024
02/07/2021,1943.900024
01/07/2021,1943.900024
30/06/2021,1943.900024
