DATES,rEER
197912,150.5942426
198001,151.9907459
198002,155.0641206
198003,160.983815
198004,164.3500499
198005,161.9538808
198006,161.4277634
198007,163.2564554
198008,166.2772455
198009,166.0037681
198010,168.5354091
198011,174.3184666
198012,177.7438309
198101,178.9512644
198102,184.9618917
198103,185.2751317
198104,189.7162744
198105,196.7374205
198106,200.8770456
198107,203.4350873
198108,206.0585623
198109,201.0944091
198110,198.5162774
198111,195.8739427
198112,196.29719
198201,200.0610969
198202,203.7192785
198203,206.4105903
198204,207.0666878
198205,202.7095912
198206,190.0969108
198207,180.781065
198208,156.3199122
198209,142.8535736
198210,142.7769752
198211,141.7158267
198212,133.893471
198301,132.3309014
198302,132.0339067
198303,139.7614086
198304,146.0504837
198305,145.968409
198306,146.428978
198307,147.5002251
198308,150.6118852
198309,149.1887321
198310,145.8240841
198311,145.8750016
198312,145.3595235
198401,144.797165
198402,142.9459942
198403,143.3145213
198404,145.3401144
198405,147.6637662
198406,148.1867252
198407,151.5480357
198408,150.5369894
198409,143.7841817
198410,134.883147
198411,131.1728014
198412,128.2222442
198501,137.1222074
198502,140.1541126
198503,129.6888367
198504,125.8795709
198505,127.1348749
198506,128.4848336
198507,115.0593336
198508,110.5851968
198509,110.7059314
198510,109.4987935
198511,107.8937404
198512,106.5938678
198601,106.2829343
198602,104.3358855
198603,102.4899623
198604,103.6194244
198605,103.7137133
198606,104.5632671
198607,102.3817197
198608,98.53560299
198609,97.66341251
198610,98.07160806
198611,99.44589049
198612,98.83948991
198701,96.50848063
198702,95.73075748
198703,95.25686232
198704,95.78585978
198705,93.96749931
198706,93.26195193
198707,93.37940802
198708,94.07874465
198709,93.34769029
198710,92.52646436
198711,89.15335598
198712,87.76409163
198801,85.30069628
198802,87.92710751
198803,86.34225636
198804,86.33009134
198805,85.82195694
198806,85.8095047
198807,86.86144504
198808,88.80003008
198809,91.25768793
198810,88.89670514
198811,88.7937887
198812,90.96174183
198901,91.67299242
198902,92.52284217
198903,91.92518837
198904,91.85515889
198905,95.12983478
198906,92.52439487
198907,89.82068688
198908,88.7980459
198909,89.03080767
198910,87.51313831
198911,85.85904483
198912,84.83506395
199001,84.649325
199002,86.81214942
199003,86.4519493
199004,88.07396025
199005,87.80706447
199006,89.5276103
199007,89.21561912
199008,86.25180136
199009,86.76462815
199010,86.02220997
199011,82.3138137
199012,81.22907688
199101,83.44126765
199102,82.03793961
199103,84.90391585
199104,88.53674345
199105,90.7749434
199106,92.47817908
199107,92.5580345
199108,91.4405582
199109,89.4353891
199110,90.05161954
199111,87.79692536
199112,86.21707358
199201,89.09254694
199202,94.71938044
199203,96.6373012
199204,97.82547787
199205,96.9618153
199206,93.66645901
199207,90.72837659
199208,88.77652492
199209,88.90093309
199210,91.80267048
199211,95.30496092
199212,95.1324122
199301,95.2911267
199302,96.06238442
199303,93.87145767
199304,92.04539413
199305,92.03886941
199306,93.62495474
199307,95.69206394
199308,96.29332976
199309,95.52893744
199310,96.98942842
199311,98.30647838
199312,95.8388052
199401,96.90078395
199402,97.36992584
199403,96.85123885
199404,98.73588676
199405,98.65547677
199406,99.21636232
199407,98.10424818
199408,98.22129896
199409,98.37343382
199410,97.70729159
199411,98.37090682
199412,103.0891394
199501,102.3153899
199502,100.6609455
199503,99.41554675
199504,101.7511494
199505,106.8108178
199506,108.2097484
199507,107.4110943
199508,108.2335857
199509,107.6453024
199510,103.6271414
199511,102.5140766
199512,104.4098369
199601,105.5192313
199602,105.4160083
199603,105.6386512
199604,107.3627459
199605,108.7365329
199606,108.2808606
199607,107.7199071
199608,107.0085523
199609,107.5086264
199610,107.1580303
199611,106.0743992
199612,106.8136674
199701,108.1708503
199702,113.0706885
199703,114.4528729
199704,113.9631177
199705,113.1725623
199706,113.7436141
199707,115.4228183
199708,117.3732569
199709,117.5202441
199710,118.162612
199711,116.3573478
199712,115.8871175
199801,114.3783761
199802,115.012208
199803,113.98287
199804,113.6357594
199805,113.6484596
199806,114.3850722
199807,112.5445838
199808,111.8699321
199809,111.0918704
199810,110.924724
199811,111.7293352
199812,109.5952792
199901,110.2794225
199902,109.6297087
199903,111.2560848
199904,112.7365386
199905,112.4192728
199906,109.9293522
199907,106.8999134
199908,106.8452408
199909,104.2291468
199910,100.9890097
199911,100.8990036
199912,102.3101573
200001,105.5276529
200002,108.6381986
200003,110.7050547
200004,111.1866932
200005,110.8282939
200006,107.5925803
200007,104.9808256
200008,104.6194452
200009,103.1920698
200010,104.2167497
200011,103.7522847
200012,102.8715774
200101,103.1075138
200102,104.9250479
200103,101.9034217
200104,101.1530821
200105,100.9750476
200106,100.0535646
200107,93.8571543
200108,90.63890342
200109,90.2315648
200110,87.23069308
200111,87.77237581
200112,89.43510703
200201,90.61675988
200202,92.54091475
200203,95.15499128
200204,97.21124505
200205,96.75815455
200206,93.4159776
200207,89.4655815
200208,89.83271904
200209,87.78327816
200210,87.29239012
200211,89.93806238
200212,90.03432223
200301,85.36191544
200302,83.10686276
200303,86.43672094
200304,85.01902017
200305,83.56265748
200306,82.42143833
200307,83.73155515
200308,84.48497293
200309,87.13788119
200310,88.72223318
200311,91.35030905
200312,93.32958509
200401,96.27980926
200402,94.75867452
200403,92.28208506
200404,91.87939877
200405,89.4093098
200406,87.84461857
200407,88.67249101
200408,87.62629517
200409,90.33453465
200410,90.68779005
200411,90.46603017
200412,92.18435536
200501,92.59829182
200502,92.28329586
200503,90.16346653
200504,91.86667826
200505,92.41939483
200506,92.44993596
200507,94.46808962
200508,98.29283317
200509,100.2175161
200510,101.6549998
200511,103.1945762
200512,106.2655266
200601,102.8039938
200602,102.6036869
200603,102.1672805
200604,103.4988152
200605,101.2544151
200606,98.48654368
200607,98.40976816
200608,98.04379931
200609,98.05913365
200610,99.51269936
200611,98.85196453
200612,97.98206668
200701,96.54273223
200702,95.78284338
200703,95.94927105
200704,95.93113861
200705,97.57651085
200706,96.68900336
200707,97.45704914
200708,98.10808567
200709,98.55301112
200710,99.82625301
200711,97.60397407
200712,100.1604117
200801,102.938549
200802,105.4782755
200803,109.308685
200804,107.572569
200805,103.1184603
200806,98.47188019
200807,96.35502607
200808,96.20697482
200809,97.18669615
200810,89.17216465
200811,87.14540262
200812,86.20504506
200901,90.39892037
200902,93.89834581
200903,96.02046732
200904,95.22505088
200905,95.23453154
200906,95.75457354
200907,96.9722635
200908,94.05036568
200909,93.28529775
200910,92.38165773
200911,98.34287272
200912,100.0257093
201001,100.9118912
