DATES,CPI
31/12/2021,112.04
30/11/2021,111.30
31/10/2021,110.50
30/09/2021,110.32
31/08/2021,109.80
31/07/2021,109.08
30/06/2021,108.43
31/05/2021,108.30
30/04/2021,107.10
31/03/2021,106.63
28/02/2021,106.29
31/01/2021,106.14
31/12/2020,106.07
30/11/2020,105.74
31/10/2020,105.67
30/09/2020,105.56
31/08/2020,105.12
31/07/2020,104.92
30/06/2020,104.62
31/05/2020,104.83
30/04/2020,105.06
31/03/2020,105.05
29/02/2020,104.64
31/01/2020,104.46
31/12/2019,104.39
30/11/2019,104.21
31/10/2019,103.88
30/09/2019,103.54
31/08/2019,103.18
31/07/2019,102.89
30/06/2019,102.35
31/05/2019,101.92
30/04/2019,101.50
31/03/2019,101.17
28/02/2019,100.87
31/01/2019,100.80
31/12/2018,100.58
30/11/2018,100.35
31/10/2018,100.05
30/09/2018,99.75
31/08/2018,99.43
31/07/2018,99.13
30/06/2018,98.95
31/05/2018,98.65
30/04/2018,98.31
31/03/2018,98.02
28/02/2018,97.90
31/01/2018,97.71
31/12/2017,97.51
30/11/2017,97.19
31/10/2017,96.82
30/09/2017,96.64
31/08/2017,96.43
31/07/2017,96.12
30/06/2017,95.87
31/05/2017,95.61
30/04/2017,95.34
31/03/2017,95.06
28/02/2017,94.70
31/01/2017,94.24
31/12/2016,93.69
30/11/2016,93.34
31/10/2016,93.05
30/09/2016,92.94
31/08/2016,92.82
31/07/2016,92.96
30/06/2016,92.20
31/05/2016,91.61
30/04/2016,91.11
31/03/2016,90.81
29/02/2016,90.04
31/01/2016,89.35
31/12/2015,88.60
30/11/2015,88.08
31/10/2015,87.36
30/09/2015,86.61
31/08/2015,85.85
31/07/2015,85.31
30/06/2015,84.91
31/05/2015,84.69
30/04/2015,84.45
31/03/2015,84.14
28/02/2015,83.71
31/01/2015,83.15
31/12/2014,82.96
30/11/2014,82.76
31/10/2014,82.46
30/09/2014,82.20
31/08/2014,81.96
31/07/2014,81.66
30/06/2014,81.34
31/05/2014,81.15
30/04/2014,80.74
31/03/2014,80.48
28/02/2014,80.22
31/01/2014,80.09
31/12/2013,80.00
30/11/2013,79.82
31/10/2013,79.82
30/09/2013,79.89
31/08/2013,79.56
31/07/2013,79.36
30/06/2013,79.14
31/05/2013,78.87
30/04/2013,78.62
