DATES,Ryr
01/01/2003,15.717568070
01/02/2003,15.917809550
01/03/2003,14.604900720
01/04/2003,16.062534940
01/05/2003,15.040492310
01/06/2003,15.129653500
01/07/2003,15.156114430
01/08/2003,15.256614210
01/09/2003,15.528182020
01/10/2003,14.587875990
01/11/2003,14.855691960
01/12/2003,14.940537990
01/01/2004,14.385426840
01/02/2004,14.401918710
01/03/2004,13.298538400
01/04/2004,12.577955010
01/05/2004,14.687768110
01/06/2004,15.241634030
01/07/2004,15.444560730
01/08/2004,15.132059090
01/09/2004,14.612564600
01/10/2004,14.640543970
01/11/2004,13.927235670
01/12/2004,13.603712870
01/01/2005,13.502857290
01/02/2005,13.219588710
01/03/2005,13.592340880
01/04/2005,13.689138590
01/05/2005,13.411168640
01/06/2005,12.454917400
01/07/2005,11.391088570
01/08/2005,10.872050420
01/09/2005,8.977747079
01/10/2005,9.763215510
01/11/2005,9.607475311
01/12/2005,9.274371416
01/01/2006,8.426220522
01/02/2006,7.278368065
01/03/2006,7.860865471
01/04/2006,9.106662004
01/05/2006,9.937278203
01/06/2006,10.993757260
01/07/2006,9.664208017
01/08/2006,9.505564219
01/09/2006,9.619608437
01/10/2006,9.343248350
01/11/2006,9.341542837
01/12/2006,9.037260462
01/01/2007,9.450402163
01/02/2007,9.830436125
01/03/2007,9.878827199
01/04/2007,10.014967800
01/05/2007,9.839236986
01/06/2007,9.910776773
01/07/2007,9.913699939
01/08/2007,10.598032030
01/09/2007,10.182599850
01/10/2007,10.167761520
01/11/2007,10.204943740
01/12/2007,10.304696090
01/01/2008,11.161653540
01/02/2008,11.538088760
01/03/2008,11.575676470
01/04/2008,10.937209380
01/05/2008,11.450694730
01/06/2008,12.713614850
01/07/2008,12.522664340
01/08/2008,11.393675430
01/09/2008,12.236434140
01/10/2008,13.692511620
01/11/2008,12.668032170
01/12/2008,10.914806380
01/01/2009,9.795325277
01/02/2009,10.033774550
01/03/2009,10.124796420
01/04/2009,9.254631240
01/05/2009,9.425322862
01/06/2009,10.089231700
01/07/2009,9.624704755
01/08/2009,10.254283700
01/09/2009,9.683794759
01/10/2009,8.977392639
01/11/2009,8.420680533
01/12/2009,9.042130226
01/01/2010,9.326970210
01/02/2010,9.559255613
01/03/2010,9.318491731
01/04/2010,8.837122924
01/05/2010,8.599206275
01/06/2010,8.475696346
01/07/2010,8.057138973
01/08/2010,7.705277758
01/09/2010,7.889721021
01/10/2010,7.498320236
01/11/2010,8.210733067
01/12/2010,8.235671888
01/01/2011,8.484119262
01/02/2011,8.859096012
01/03/2011,8.775247468
01/04/2011,8.698791159
01/05/2011,8.306401614
01/06/2011,7.856660853
01/07/2011,7.802632353
01/08/2011,7.494657285
01/09/2011,7.654294231
01/10/2011,7.661257936
01/11/2011,7.804125288
01/12/2011,7.841440966
01/01/2012,7.490501722
01/02/2012,7.435899549
01/03/2012,7.372302503
01/04/2012,7.213191909
01/05/2012,7.262162491
01/06/2012,7.128099518
01/07/2012,6.772714634
01/08/2012,6.757584021
01/09/2012,6.445885895
01/10/2012,6.261616764
01/11/2012,5.995621799
01/12/2012,5.711333780
01/01/2013,5.304520505
01/02/2013,5.086376662
01/03/2013,5.106941187
01/04/2013,5.086814600
01/05/2013,6.124263272
01/06/2013,7.129626688
01/07/2013,7.501644391
01/08/2013,7.758640512
01/09/2013,7.321370568
01/10/2013,6.921057474
01/11/2013,7.338626198
01/12/2013,7.295925889
01/01/2014,7.630399494
01/02/2014,7.617991041
01/03/2014,6.773311008
01/04/2014,6.769398796
01/05/2014,6.631165541
01/06/2014,6.903259342
01/07/2014,6.974890925
01/08/2014,6.729824049
01/09/2014,7.208422562
01/10/2014,6.945026343
01/11/2014,6.969954449
01/12/2014,7.525955530
01/01/2015,6.992986964
01/02/2015,6.980000000
01/03/2015,7.420000000
01/04/2015,7.220000000
01/05/2015,7.370000000
01/06/2015,7.890000000
01/07/2015,7.780000000
01/08/2015,8.340000000
01/09/2015,8.630000000
01/10/2015,8.250000000
01/11/2015,8.710000000
01/12/2015,8.880000000
01/01/2016,9.210000000
01/02/2016,9.190000000
01/03/2016,8.340000000
01/04/2016,8.200000000
01/05/2016,8.170000000
01/06/2016,7.600000000
01/07/2016,7.610000000
