DATES,STX
28/01/2022,1529.85
27/01/2022,1520.63
26/01/2022,1522.26
25/01/2022,1527.48
24/01/2022,1522.12
21/01/2022,1523.56
20/01/2022,1547.47
19/01/2022,1582.84
18/01/2022,1585.23
17/01/2022,1522.21
14/01/2022,1431.84
13/01/2022,1466.67
12/01/2022,1450.75
11/01/2022,1422.57
07/01/2022,1394.22
06/01/2022,1381.74
05/01/2022,1402.4
04/01/2022,1423.88
03/01/2022,1415.06
30/12/2021,1410.97
29/12/2021,1415.79
28/12/2021,1408.2
27/12/2021,1404.62
24/12/2021,1401.66
23/12/2021,1395.46
22/12/2021,1394.49
21/12/2021,1378.82
20/12/2021,1380.89
17/12/2021,1395
16/12/2021,1407.88
15/12/2021,1375.2
14/12/2021,1358.8
13/12/2021,1353.91
10/12/2021,1389.16
09/12/2021,1399.15
07/12/2021,1409.94
06/12/2021,1430.66
03/12/2021,1431.94
02/12/2021,1431.29
01/12/2021,1418.24
30/11/2021,1373.84
29/11/2021,1347.45
26/11/2021,1318.31
25/11/2021,1338.85
24/11/2021,1330.18
23/11/2021,1316.43
22/11/2021,1312.18
19/11/2021,1298.64
18/11/2021,1337.52
17/11/2021,1330.57
16/11/2021,1333.47
12/11/2021,1356.48
11/11/2021,1365.84
10/11/2021,1365.65
09/11/2021,1384.59
08/11/2021,1394.23
05/11/2021,1388.56
04/11/2021,1392.19
03/11/2021,1404.52
02/11/2021,1390.5
29/10/2021,1394.04
28/10/2021,1407.92
27/10/2021,1404.09
26/10/2021,1413.32
25/10/2021,1402.04
22/10/2021,1399.64
21/10/2021,1410.2
20/10/2021,1414.1
19/10/2021,1416.49
15/10/2021,1426.2
14/10/2021,1416.68
13/10/2021,1394.22
12/10/2021,1386.45
11/10/2021,1406.25
08/10/2021,1401
07/10/2021,1393.5
06/10/2021,1381.86
05/10/2021,1383.22
04/10/2021,1381.76
01/10/2021,1370.25
30/09/2021,1361.95
29/09/2021,1360.41
28/09/2021,1350.53
27/09/2021,1345.4
24/09/2021,1309.38
23/09/2021,1312.22
22/09/2021,1310.25
21/09/2021,1301.46
20/09/2021,1306.62
17/09/2021,1321.85
16/09/2021,1323.37
15/09/2021,1322.14
14/09/2021,1310.22
13/09/2021,1312.43
10/09/2021,1320.52
09/09/2021,1322.78
08/09/2021,1320.39
07/09/2021,1320.98
06/09/2021,1327.09
03/09/2021,1327.47
02/09/2021,1331.9
01/09/2021,1321.27
31/08/2021,1319.96
30/08/2021,1322.57
27/08/2021,1325.51
26/08/2021,1313.99
25/08/2021,1329.79
24/08/2021,1328.29
23/08/2021,1334.48
20/08/2021,1326.91
19/08/2021,1329.67
18/08/2021,1325.93
17/08/2021,1301.69
13/08/2021,1268.79
12/08/2021,1258.53
11/08/2021,1246.69
10/08/2021,1236.31
09/08/2021,1229.44
06/08/2021,1226.59
05/08/2021,1227.35
04/08/2021,1240.84
03/08/2021,1235.53
02/08/2021,1236.03
30/07/2021,1236.73
29/07/2021,1245.86
28/07/2021,1243.13
27/07/2021,1249.61
26/07/2021,1256.31
23/07/2021,1254.24
22/07/2021,1251.87
21/07/2021,1250.71
19/07/2021,1238.12
16/07/2021,1272.49
15/07/2021,1273.21
14/07/2021,1284.44
13/07/2021,1293.76
12/07/2021,1298.44
09/07/2021,1293.02
08/07/2021,1284.04
07/07/2021,1286.43
06/07/2021,1272.05
02/07/2021,1289.38
01/07/2021,1260.42
30/06/2021,1248.83
29/06/2021,1257
28/06/2021,1270.88
25/06/2021,1284.2
24/06/2021,1278.81
23/06/2021,1246.96
22/06/2021,1242.7
21/06/2021,1246.44
18/06/2021,1257.29
17/06/2021,1248.79
16/06/2021,1250.78
15/06/2021,1252.27
11/06/2021,1261.61
10/06/2021,1260.21
09/06/2021,1255.31
08/06/2021,1258.64
04/06/2021,1245.44
03/06/2021,1258.26
02/06/2021,1247.98
01/06/2021,1223.18
31/05/2021,1200.9
28/05/2021,1206.63
27/05/2021,1182.18
26/05/2021,1190.78
25/05/2021,1203.8
24/05/2021,1227.68
21/05/2021,1244.08
20/05/2021,1254.62
19/05/2021,1265.64
18/05/2021,1268.14
14/05/2021,1289.75
13/05/2021,1262.29
12/05/2021,1285.33
11/05/2021,1292.14
10/05/2021,1311.73
07/05/2021,1281.93
06/05/2021,1266.56
05/05/2021,1240.04
04/05/2021,1217.67
03/05/2021,1216.62
30/04/2021,1250.65
29/04/2021,1278
28/04/2021,1286.16
27/04/2021,1293.15
26/04/2021,1286.57
23/04/2021,1282.21
22/04/2021,1296.07
21/04/2021,1305.14
20/04/2021,1311.39
19/04/2021,1312.62
16/04/2021,1317.08
15/04/2021,1321.8
14/04/2021,1320.96
13/04/2021,1312.55
12/04/2021,1317.76
09/04/2021,1322.11
08/04/2021,1325.93
07/04/2021,1335.89
06/04/2021,1324.35
05/04/2021,1323.97
31/03/2021,1316.81
30/03/2021,1327.32
29/03/2021,1320.83
26/03/2021,1314.46
25/03/2021,1320.11
24/03/2021,1325.33
23/03/2021,1319.82
19/03/2021,1324.54
18/03/2021,1325.59
17/03/2021,1343.56
16/03/2021,1350.14
15/03/2021,1356.98
12/03/2021,1353.68
11/03/2021,1350.35
10/03/2021,1347.47
09/03/2021,1341.73
08/03/2021,1336.98
05/03/2021,1344.72
04/03/2021,1337.12
03/03/2021,1347.22
02/03/2021,1350.04
01/03/2021,1355.7
26/02/2021,1359.48
25/02/2021,1335.79
24/02/2021,1370.75
23/02/2021,1355.24
22/02/2021,1352.21
19/02/2021,1352.57
18/02/2021,1353.68
17/02/2021,1366.29
16/02/2021,1363.17
15/02/2021,1369.39
