DATES,rEER
197912,138.8312112
198001,140.0337941
198002,137.7950273
198003,137.5209167
198004,140.0966271
198005,136.3322366
198006,134.131048
198007,134.0234003
198008,135.5513001
198009,134.9152478
198010,135.6343989
198011,137.3886865
198012,137.8101329
198101,138.6706082
198102,142.2667944
198103,142.0168034
198104,144.7354987
198105,146.8076434
198106,151.3026449
198107,154.1739919
198108,155.3991102
198109,151.7488406
198110,149.8462134
198111,147.9009136
198112,148.304455
198201,149.3955994
198202,152.3069325
198203,154.4088261
198204,154.6042102
198205,152.394165
198206,157.4509966
198207,158.4053893
198208,161.1670264
198209,163.303299
198210,164.0457832
198211,163.2966171
198212,158.2420232
198301,155.2317846
198302,155.7794156
198303,157.7096086
198304,158.5013494
198305,158.0718586
198306,158.0698977
198307,157.5222298
198308,157.4619276
198309,155.4196206
198310,153.7318853
198311,153.8716884
198312,152.8456878
198401,151.5039587
198402,147.4582027
198403,145.8418889
198404,144.5233447
198405,144.1897144
198406,144.0159442
198407,145.4984643
198408,145.482311
198409,146.9914734
198410,145.5834233
198411,143.9161202
198412,145.4538362
198501,145.8860535
198502,147.01809
198503,143.8647374
198504,134.8572817
198505,135.1122892
198506,132.5865213
198507,124.9139984
198508,120.3625673
198509,118.6924157
198510,112.0173883
198511,108.0888188
198512,105.2965926
198601,103.7821822
198602,101.9925057
198603,101.0732009
198604,100.0900982
198605,95.52020754
198606,93.04347991
198607,90.12370306
198608,89.96913622
198609,89.48215839
198610,89.17130353
198611,89.31641667
198612,90.2067871
198701,87.87465056
198702,86.33031267
198703,85.73624714
198704,83.62537564
198705,83.38975331
198706,84.04875273
198707,85.02355998
198708,85.05058203
198709,83.88253809
198710,84.0285525
198711,82.15508941
198712,80.84966298
198801,81.68499378
198802,82.94243086
198803,81.98319161
198804,81.79269555
198805,81.5217508
198806,82.8335826
198807,84.11427777
198808,83.76500998
198809,82.63794742
198810,80.89924446
198811,78.83468596
198812,78.87668151
198901,79.5500681
198902,79.16151918
198903,80.47474735
198904,79.36039191
198905,79.76365666
198906,79.81044357
198907,78.71308027
198908,79.07618342
198909,79.12444635
198910,77.4590655
198911,76.76582459
198912,74.71344692
199001,72.92355483
199002,71.82332481
199003,71.83479755
199004,71.66326423
199005,70.51744322
199006,70.31470779
199007,68.92914153
199008,67.15088535
199009,66.73772484
199010,65.68231438
199011,65.53368258
199012,66.50287242
199101,67.15070779
199102,65.64504382
199103,67.91737992
199104,69.65015839
199105,70.09792691
199106,71.08616667
199107,71.31035026
199108,70.57280607
199109,69.25702184
199110,68.97656761
199111,67.46984415
199112,66.43612665
199201,66.84280877
199202,67.88863394
199203,69.22090673
199204,69.53940251
199205,69.30555233
199206,69.03334638
199207,68.39322014
199208,67.80114744
199209,67.98398173
199210,69.43595512
199211,71.7277268
199212,71.79166623
199301,72.9173117
199302,73.58751643
199303,73.48868892
199304,72.20833686
199305,72.78333174
199306,73.35846364
199307,74.93137454
199308,75.221157
199309,74.56089558
199310,75.53355258
199311,77.47070553
199312,77.56404603
199401,78.74081811
199402,78.84423289
199403,89.94579462
199404,90.20524707
199405,90.01450047
199406,91.40542264
199407,92.79904924
199408,93.92021483
199409,92.68836494
199410,91.96783392
199411,94.78800774
199412,98.00260634
199501,96.52954218
199502,96.56671687
199503,94.66983779
199504,93.30285559
199505,94.31161895
199506,95.40015022
199507,94.28785172
199508,92.83676275
199509,91.94576298
199510,90.20059176
199511,90.06130229
199512,93.87739146
199601,93.89807681
199602,93.02708972
199603,92.24850313
199604,94.33285369
199605,96.14636963
199606,96.25500994
199607,97.91736437
199608,100.3738117
199609,102.2058143
199610,106.1034711
199611,108.5884298
199612,109.9571266
199701,108.4751554
199702,105.7652491
199703,108.4044141
199704,109.5024026
199705,109.1114986
199706,109.6799246
199707,109.3402069
199708,108.6990871
199709,101.2890321
199710,98.64063194
199711,97.66283045
199712,99.75710449
199801,99.73521559
199802,98.90525008
199803,99.99040488
199804,101.7445107
199805,101.0983258
199806,103.2191864
199807,105.2656171
199808,104.778953
199809,95.79005158
199810,90.57402931
199811,92.33325591
199812,95.44037826
199901,95.00054317
199902,97.16298105
199903,100.0483283
199904,97.18885792
199905,93.90418973
199906,92.59184008
199907,87.05833874
199908,84.12041666
199909,80.29095955
199910,81.19132866
199911,83.52422823
199912,86.62744022
200001,84.93079709
200002,84.7302687
200003,85.1238975
200004,84.13042997
200005,82.89273143
200006,79.32063339
200007,77.99234886
200008,78.01678332
200009,77.9218106
200010,80.0148608
200011,81.9928053
200012,79.84015811
200101,77.47695911
200102,78.0951346
200103,78.16444938
200104,77.44540651
200105,77.14985619
200106,79.13658987
200107,79.80910729
200108,79.90516795
200109,79.00713313
200110,79.90211826
200111,80.19060478
200112,80.07717643
200201,81.51863348
200202,83.82551097
200203,84.12863284
200204,83.89159556
200205,83.15882137
200206,83.28912997
200207,78.81843451
200208,75.22531447
200209,73.34552188
200210,71.95670979
200211,73.78089202
200212,71.05106114
200301,69.53533976
200302,68.19905689
200303,67.72912715
200304,68.49401098
200305,68.8110801
200306,69.45778633
200307,69.06375988
200308,69.64356767
200309,69.92485353
200310,68.15749125
200311,68.99449101
200312,69.27640018
200401,69.97376667
200402,72.15978932
200403,73.96950081
200404,75.17005223
200405,73.65211291
200406,73.66076142
200407,75.21965975
200408,76.41938449
200409,78.23104756
200410,76.69208616
200411,77.15294055
200412,79.96205892
200501,82.19026752
200502,82.8138241
200503,82.26634104
200504,83.26900743
200505,83.68609465
200506,85.11454026
200507,85.38607881
200508,85.39603494
200509,85.78024136
200510,86.57531174
200511,87.48801349
200512,87.42823944
200601,86.66921995
200602,87.06376384
200603,86.94347562
200604,83.06020057
200605,80.74963325
200606,76.69203754
200607,77.30612646
200608,81.44511693
200609,81.8127578
200610,83.12571005
200611,85.34657905
200612,85.64074735
200701,87.26336386
200702,87.41764074
200703,88.76356722
200704,90.46432666
200705,97.0721487
200706,100.3498344
200707,98.40843066
200708,91.79883919
200709,90.13147015
200710,93.72307929
200711,90.31143697
200712,91.84482494
200801,93.10154018
200802,96.2333312
200803,97.79129821
200804,100.0263814
200805,101.5634419
200806,105.4993247
200807,100.8219506
200808,98.82947124
200809,89.94374141
200810,85.52029798
200811,86.1780051
200812,88.18834564
200901,88.33596169
200902,80.90914041
200903,82.30453921
200904,84.17248714
200905,87.7315483
200906,92.852301
200907,94.06455792
200908,94.49457401
200909,95.62319129
200910,98.59142768
200911,93.92918058
200912,91.91980501
201001,95.4688555
201002,97.99258553
201003,99.52634037
201004,97.81266103
201005,97.34743832
201006,100.968481
201007,102.3475751
201008,104.9803068
201009,105.016698
201010,102.2469039
201011,99.42350377
201012,96.86865065
201101,101.1020407
201102,98.95081765
201103,98.00714613
201104,100.6664182
201105,100.9300941
201106,101.9374472
201107,102.7660048
201108,101.5631495
201109,101.0351038
201110,98.295257
201111,98.16310194
201112,98.13729273
201201,102.4111833
201202,104.7146529
201203,105.7248785
201204,105.5316364
201205,106.3819512
201206,107.8420177
201207,107.6234964
201208,105.6007507
201209,104.937145
201210,104.4727757
201211,104.0632202
201212,104.7834556
201301,105.3849609
201302,104.3262094
201303,104.3071391
201304,102.8319826
201305,101.9837804
201306,99.62332088
201307,100.5653612
201308,100.4304667
201309,99.59086771
201310,100.2490868
201311,98.56221908
201312,97.68092923
201401,96.73704435
201402,93.0610287
201403,93.51179758
201404,97.05575588
201405,98.1891076
201406,99.72246202
201407,101.5765672
201408,100.2644927
201409,97.58746626
201410,95.02941777
201411,92.36995606
201412,85.31642652
201501,84.46070418
201502,84.58379983
201503,80.721633
201504,83.36963198
201505,84.7603846
201506,80.95894277
201507,76.191824
201508,70.48352706
201509,70.55675854
201510,73.67496837
201511,73.48683154
201512,68.24737547
201601,68.9914753
201602,67.45484729
201603,71.75306365
201604,74.43439181
201605,74.97967347
201606,75.08809032
201607,76.27918701
201608,75.45989586
201609,76.79693644
201610,76.58462379
201611,73.59843144
201612,76.52588407
201701,78.24162249
201702,79.41865036
201703,77.49661213
201704,78.97035802
201705,77.50148706
201706,76.28770241
201707,73.84664131
201708,74.75148788
201709,75.71538351
201710,75.68409578
201711,74.4158355
201712,74.88845264
201801,76.97688528
201802,76.65631964
201803,77.01814048
201804,79.6307493
201805,78.97877778
201806,79.09713328
201807,79.72226348
201808,78.36584759
201809,76.88166181
201810,75.82922352
201811,73.84460902
201812,73.71044728
201901,74.02150358
201902,75.11482424
201903,75.00191918
201904,74.34408094
201905,71.82531861
201906,72.78442778
201907,73.93313316
201908,70.76285839
201909,71.55537406
201910,70.52542362
