DATES,Ryr
10/07/2008, 13.10 
11/07/2008, 13.10 
14/07/2008, 13.10 
15/07/2008, 13.09 
16/07/2008, 12.98 
17/07/2008, 12.93 
18/07/2008, 12.92 
21/07/2008, 12.88 
22/07/2008, 12.88 
23/07/2008, 13.07 
24/07/2008, 13.00 
25/07/2008, 12.89 
28/07/2008, 12.88 
29/07/2008, 12.85 
30/07/2008, 12.68 
31/07/2008, 12.56 
01/08/2008, 12.57 
04/08/2008, 12.20 
05/08/2008, 12.15 
06/08/2008, 12.19 
08/08/2008, 12.19 
11/08/2008, 12.18 
12/08/2008, 12.17 
13/08/2008, 11.95 
14/08/2008, 11.96 
15/08/2008, 11.80 
19/08/2008, 11.81 
20/08/2008, 11.85 
21/08/2008, 11.79 
22/08/2008, 11.79 
25/08/2008, 11.73 
26/08/2008, 11.67 
27/08/2008, 11.64 
28/08/2008, 11.37 
29/08/2008, 11.38 
01/09/2008, 11.30 
02/09/2008, 11.37 
03/09/2008, 11.37 
04/09/2008, 11.49 
05/09/2008, 11.37 
08/09/2008, 11.58 
09/09/2008, 11.37 
10/09/2008, 11.56 
11/09/2008, 11.69 
12/09/2008, 11.57 
15/09/2008, 11.64 
16/09/2008, 11.94 
17/09/2008, 12.21 
18/09/2008, 12.43 
19/09/2008, 12.14 
22/09/2008, 12.30 
23/09/2008, 12.19 
24/09/2008, 12.21 
25/09/2008, 12.03 
26/09/2008, 11.99 
29/09/2008, 12.11 
30/09/2008, 12.06 
01/10/2008, 12.03 
02/10/2008, 11.85 
03/10/2008, 11.73 
06/10/2008, 12.14 
07/10/2008, 12.15 
08/10/2008, 12.41 
09/10/2008, 12.51 
10/10/2008, 12.72 
13/10/2008, 12.96 
14/10/2008, 12.80 
15/10/2008, 13.02 
16/10/2008, 13.02 
17/10/2008, 12.92 
20/10/2008, 12.92 
21/10/2008, 12.88 
22/10/2008, 12.84 
23/10/2008, 13.16 
24/10/2008, 12.84 
27/10/2008, 12.86 
28/10/2008, 13.31 
29/10/2008, 12.83 
30/10/2008, 12.84 
31/10/2008, 13.21 
04/11/2008, 12.81 
05/11/2008, 12.76 
06/11/2008, 12.90 
07/11/2008, 12.93 
09/07/2012, 6.99 
10/07/2012, 6.95 
11/07/2012, 6.92 
12/07/2012, 6.89 
13/07/2012, 6.85 
16/07/2012, 6.80 
17/07/2012, 6.85 
18/07/2012, 6.84 
19/07/2012, 6.81 
23/07/2012, 6.80 
24/07/2012, 6.80 
25/07/2012, 6.77 
26/07/2012, 6.73 
27/07/2012, 6.75 
30/07/2012, 6.66 
31/07/2012, 6.63 
01/08/2012, 6.60 
02/08/2012, 6.58 
03/08/2012, 6.57 
06/08/2012, 6.58 
08/08/2012, 6.64 
09/08/2012, 6.66 
10/08/2012, 6.62 
13/08/2012, 6.61 
14/08/2012, 6.60 
15/08/2012, 6.56 
16/08/2012, 6.66 
17/08/2012, 6.54 
21/08/2012, 6.58 
22/08/2012, 6.59 
23/08/2012, 6.63 
24/08/2012, 6.59 
27/08/2012, 6.58 
28/08/2012, 6.57 
29/08/2012, 6.62 
30/08/2012, 6.59 
31/08/2012, 6.58 
03/09/2012, 6.57 
04/09/2012, 6.58 
05/09/2012, 6.60 
06/09/2012, 6.57 
07/09/2012, 6.48 
10/09/2012, 6.47 
11/09/2012, 6.47 
12/09/2012, 6.48 
13/09/2012, 6.49 
14/09/2012, 6.59 
17/09/2012, 6.49 
18/09/2012, 6.48 
19/09/2012, 6.59 
20/09/2012, 6.47 
21/09/2012, 6.40 
22/09/2012, 6.45 
23/09/2012, 6.45 
24/09/2012, 6.40 
25/09/2012, 6.34 
26/09/2012, 6.34 
27/09/2012, 6.25 
28/09/2012, 6.27 
01/10/2012, 6.25 
02/10/2012, 6.20 
03/10/2012, 6.20 
04/10/2012, 6.19 
05/10/2012, 6.09 
08/10/2012, 6.05 
09/10/2012, 6.05 
10/10/2012, 6.07 
11/10/2012, 6.00 
