DATES,STX
08/02/2022,52294.58
04/02/2022,51255.31
03/02/2022,51145.11
02/02/2022,52034.8
01/02/2022,51782.67
31/01/2022,51330.85
28/01/2022,50661.86
27/01/2022,50466.02
26/01/2022,51037.05
25/01/2022,51104.39
24/01/2022,50890.59
21/01/2022,51599.38
20/01/2022,52508.35
19/01/2022,52823.23
18/01/2022,53232.2
17/01/2022,53973.27
14/01/2022,53744.92
13/01/2022,53930.45
12/01/2022,53951.14
11/01/2022,53061.92
10/01/2022,52835.76
07/01/2022,53202.11
06/01/2022,53055.31
05/01/2022,53024.15
04/01/2022,53016.78
03/01/2022,52941.01
31/12/2021,53272.44
30/12/2021,53175.25
29/12/2021,52748.93
28/12/2021,53238.48
27/12/2021,53259.56
24/12/2021,52853.38
23/12/2021,52650.91
22/12/2021,52403.05
21/12/2021,52085.28
20/12/2021,51623.86
17/12/2021,52379.37
16/12/2021,51384.06
15/12/2021,51163.66
14/12/2021,51241.47
13/12/2021,50419.17
10/12/2021,51213.48
09/12/2021,51238.02
08/12/2021,51056.27
07/12/2021,50918.28
06/12/2021,50605.56
03/12/2021,50597.29
02/12/2021,50927.38
01/12/2021,50007.16
30/11/2021,49698.72
29/11/2021,49796.3
26/11/2021,49492.52
25/11/2021,50625
24/11/2021,50848.03
23/11/2021,51116.32
22/11/2021,50497.08
19/11/2021,50811.3
18/11/2021,50831.95
17/11/2021,51045.1
16/11/2021,51161.5
12/11/2021,51432.54
11/11/2021,51707.01
10/11/2021,51704.4
09/11/2021,52114.12
08/11/2021,52251.49
05/11/2021,51977.96
04/11/2021,51873.46
03/11/2021,51876.81
01/11/2021,51653.26
29/10/2021,51309.84
28/10/2021,51248.84
27/10/2021,51714.6
26/10/2021,52206.59
25/10/2021,51833.8
22/10/2021,51889.66
21/10/2021,52020.05
20/10/2021,52298.2
19/10/2021,52402.73
18/10/2021,52686.03
15/10/2021,52798.38
14/10/2021,52140.24
13/10/2021,51812.87
12/10/2021,51835.88
11/10/2021,51646.75
08/10/2021,51136.62
07/10/2021,50876.98
06/10/2021,50974.49
05/10/2021,51056.94
04/10/2021,50862.94
01/10/2021,51060.05
30/09/2021,51385.55
29/09/2021,51084.61
28/09/2021,50925.52
27/09/2021,51598.53
24/09/2021,51105.71
23/09/2021,51464.27
22/09/2021,51338.34
21/09/2021,50828.13
20/09/2021,50557.65
17/09/2021,51307.71
15/09/2021,52192.33
14/09/2021,51815.17
13/09/2021,51496.71
10/09/2021,51521.8
09/09/2021,51395.06
