DATES,rEER
197912,111.7448565
198001,113.6999287
198002,115.1481367
198003,117.6323325
198004,119.2701893
198005,118.3603808
198006,118.7069533
198007,120.9369358
198008,123.0013354
198009,123.6548305
198010,124.5877353
198011,126.6781177
198012,128.540312
198101,128.4669147
198102,131.3199765
198103,132.7336614
198104,134.71362
198105,137.1114896
198106,138.7295082
198107,139.7770695
198108,141.5332018
198109,140.7895494
198110,141.7872948
198111,141.2475853
198112,141.883253
198201,144.3246829
198202,126.925914
198203,91.89318849
198204,95.16634318
198205,97.48193159
198206,101.9382935
198207,105.2112905
198208,72.84355429
198209,69.4444686
198210,91.61280328
198211,96.33357864
198212,91.51299296
198301,80.73816471
198302,81.2861087
198303,83.07122387
198304,84.42807642
198305,85.32506514
198306,86.74989491
198307,88.1560042
198308,89.48998576
198309,89.64234367
198310,89.48453259
198311,92.38501936
198312,93.26626499
198401,94.16666492
198402,94.73321464
198403,95.52936497
198404,97.04289303
198405,99.09968393
198406,101.0052517
198407,103.1753201
198408,104.0375947
198409,106.3411903
198410,108.4299027
198411,108.7382045
198412,110.5547406
198501,113.2063911
198502,115.0777381
198503,116.2666635
198504,113.9207793
198505,114.0512791
198506,113.6995992
198507,109.1042743
198508,94.80230191
198509,95.92282412
198510,92.6963424
198511,90.5264699
198512,87.70178341
198601,84.41122865
198602,79.49952205
198603,76.65792626
198604,75.73609444
198605,74.50771519
198606,74.95767642
198607,71.85251464
198608,69.93037006
198609,68.3756547
198610,67.66683179
198611,67.5951315
198612,66.71243075
198701,63.90161422
198702,63.23728214
198703,62.95700868
198704,63.5031184
198705,64.22978913
198706,65.70912909
198707,68.3647148
198708,70.38643232
198709,71.36572519
198710,73.52063691
198711,73.16371823
198712,68.53991263
198801,70.71338648
198802,75.1076134
198803,77.60246178
198804,79.47364568
198805,81.73206062
198806,84.43291954
198807,87.31000143
198808,88.92970781
198809,89.99924154
198810,89.86581568
198811,89.2387315
198812,89.38420385
198901,89.36690382
198902,88.76589874
198903,88.65800026
198904,88.48084447
198905,89.75749458
198906,90.73661796
198907,90.03022831
198908,90.46883357
198909,91.29431268
198910,90.5437442
198911,89.81388085
198912,89.3188212
199001,89.35106203
199002,89.5587205
199003,90.56834252
199004,91.25971415
199005,91.61322995
199006,92.86965047
199007,93.04347317
199008,92.67493828
199009,92.57503609
199010,91.82225265
199011,92.66295066
199012,94.3099793
199101,94.87526406
199102,94.84869433
199103,97.75254895
199104,99.70764208
199105,100.5905135
199106,102.0832097
199107,102.5997493
199108,102.609833
199109,102.4743474
199110,103.0206056
199111,103.7717568
199112,104.3045661
199201,104.9147718
199202,106.7753574
199203,108.5064642
199204,109.2728585
199205,108.2524617
199206,107.1929029
199207,106.9087654
199208,108.2600405
199209,109.5683398
199210,110.4410127
199211,113.0117563
199212,113.7280996
199301,114.8495948
199302,116.2058179
199303,115.3844964
199304,114.8895541
199305,114.3000635
199306,115.2119329
199307,116.8681934
199308,118.0902679
199309,118.4392207
199310,119.7561159
