DATES,CPI
31/01/1990,0.1575
28/02/1990,0.2101
31/03/1990,0.2577
30/04/1990,0.3783
31/05/1990,0.5205
30/06/1990,0.7120
31/07/1990,1.0971
31/08/1990,5.2899
30/09/1990,5.7124
31/10/1990,6.3756
30/11/1990,7.2724
31/12/1990,9.1589
31/01/1991,10.8050
28/02/1991,11.9174
31/03/1991,12.2918
30/04/1991,14.2714
31/05/1991,15.6865
30/06/1991,16.3521
31/07/1991,16.8788
31/08/1991,17.5674
30/09/1991,17.7976
31/10/1991,18.8129
30/11/1991,20.7348
31/12/1991,21.7299
31/01/1992,22.4940
29/02/1992,23.6921
31/03/1992,24.8047
30/04/1992,27.6442
31/05/1992,28.8567
30/06/1992,28.7721
31/07/1992,28.6049
31/08/1992,28.6952
30/09/1992,28.8445
31/10/1992,30.3316
30/11/1992,32.4867
31/12/1992,33.9340
31/01/1993,35.6430
28/02/1993,36.8539
31/03/1993,37.7448
30/04/1993,41.1443
31/05/1993,42.7698
30/06/1993,42.4810
31/07/1993,42.6486
31/08/1993,43.0876
30/09/1993,43.4662
31/10/1993,44.5197
30/11/1993,46.0073
31/12/1993,47.3854
31/01/1994,48.4649
28/02/1994,49.5990
31/03/1994,50.0336
30/04/1994,51.2266
31/05/1994,51.9603
30/06/1994,51.9819
31/07/1994,52.0631
31/08/1994,52.5459
30/09/1994,52.9937
31/10/1994,53.4319
30/11/1994,54.3101
31/12/1994,54.7708
31/01/1995,55.0294
28/02/1995,55.5893
31/03/1995,55.9707
30/04/1995,56.4678
31/05/1995,57.2967
30/06/1995,57.5045
31/07/1995,57.7077
31/08/1995,58.1923
30/09/1995,58.6893
31/10/1995,59.2452
30/11/1995,60.0849
31/12/1995,60.3892
31/01/1996,61.1330
29/02/1996,61.9019
31/03/1996,62.4151
30/04/1996,62.8905
31/05/1996,63.5556
30/06/1996,63.7508
31/07/1996,64.5781
31/08/1996,65.1711
30/09/1996,65.6400
31/10/1996,66.3859
30/11/1996,66.7688
31/12/1996,67.5050
31/01/1997,67.8571
28/02/1997,67.7076
31/03/1997,68.2584
30/04/1997,68.5020
31/05/1997,69.0451
30/06/1997,69.8193
31/07/1997,70.3097
31/08/1997,70.5248
30/09/1997,70.9339
31/10/1997,71.3066
30/11/1997,71.4746
31/12/1997,71.8309
31/01/1998,72.5288
28/02/1998,73.2265
31/03/1998,73.8841
30/04/1998,74.2986
31/05/1998,74.7535
30/06/1998,75.1845
31/07/1998,75.5528
31/08/1998,75.8667
30/09/1998,75.5757
31/10/1998,75.5738
30/11/1998,75.7629
31/12/1998,76.1153
31/01/1999,76.1929
28/02/1999,76.2588
31/03/1999,76.4022
30/04/1999,76.7750
31/05/1999,77.1791
30/06/1999,77.3937
31/07/1999,77.5020
31/08/1999,77.7679
30/09/1999,78.1555
31/10/1999,78.2848
30/11/1999,78.6768
31/12/1999,78.9169
31/01/2000,79.0657
29/02/2000,79.2971
31/03/2000,79.3605
30/04/2000,79.6586
31/05/2000,79.7368
30/06/2000,79.9198
31/07/2000,80.2823
31/08/2000,80.7895
30/09/2000,81.1779
31/10/2000,81.5645
30/11/2000,81.7726
31/12/2000,81.8486
31/01/2001,82.1033
28/02/2001,82.1711
31/03/2001,82.1659
30/04/2001,81.7168
31/05/2001,81.8216
30/06/2001,81.9600
31/07/2001,82.0923
31/08/2001,81.9653
30/09/2001,81.9157
31/10/2001,82.0819
30/11/2001,81.8171
31/12/2001,81.7364
31/01/2002,81.3860
28/02/2002,81.2597
31/03/2002,81.2309
30/04/2002,81.7633
31/05/2002,81.9603
30/06/2002,81.9536
31/07/2002,82.0104
31/08/2002,82.2282
30/09/2002,82.5149
31/10/2002,83.1857
30/11/2002,82.9956
31/12/2002,82.9769
31/01/2003,83.2068
28/02/2003,83.5227
31/03/2003,83.9555
30/04/2003,83.9045
31/05/2003,83.9514
30/06/2003,83.7020
31/07/2003,83.6398
31/08/2003,83.7935
30/09/2003,84.1958
31/10/2003,84.2687
30/11/2003,84.5560
31/12/2003,85.0426
31/01/2004,85.4931
29/02/2004,86.3581
31/03/2004,86.2653
30/04/2004,86.2875
31/05/2004,86.6376
30/06/2004,87.2334
31/07/2004,87.4870
31/08/2004,87.6339
30/09/2004,87.6056
31/10/2004,87.6060
30/11/2004,88.0172
31/12/2004,87.9940
31/01/2005,88.0450
28/02/2005,87.7669
31/03/2005,87.9119
30/04/2005,88.0955
31/05/2005,88.2274
30/06/2005,88.5185
31/07/2005,88.7002
31/08/2005,88.6793
30/09/2005,88.5814
31/10/2005,88.7113
30/11/2005,88.9422
31/12/2005,89.2872
31/01/2006,89.6787
28/02/2006,90.1094
31/03/2006,90.1651
30/04/2006,90.7181
31/05/2006,90.2428
30/06/2006,90.1564
31/07/2006,90.0484
31/08/2006,90.3072
30/09/2006,90.3328
31/10/2006,90.3608
30/11/2006,90.2946
31/12/2006,90.2692
31/01/2007,90.2302
28/02/2007,90.4127
31/03/2007,90.4484
30/04/2007,90.6916
31/05/2007,91.1296
30/06/2007,91.5957
31/07/2007,92.0316
31/08/2007,92.2528
30/09/2007,92.8327
31/10/2007,93.1144
30/11/2007,93.4143
31/12/2007,93.7901
31/01/2008,93.9646
29/02/2008,94.7814
31/03/2008,95.5124
30/04/2008,95.7231
31/05/2008,96.0630
30/06/2008,96.8809
31/07/2008,97.3420
31/08/2008,97.9981
30/09/2008,98.5677
31/10/2008,99.1946
30/11/2008,99.7003
31/12/2008,100.0094
31/01/2009,100.1086
28/02/2009,100.0098
31/03/2009,100.0982
30/04/2009,100.1603
31/05/2009,100.1206
30/06/2009,99.8921
31/07/2009,99.9343
31/08/2009,99.7795
30/09/2009,99.7296
31/10/2009,99.8963
30/11/2009,99.9736
31/12/2009,100.2492
31/01/2010,100.5711
28/02/2010,100.8972
31/03/2010,100.8698
30/04/2010,100.8952
31/05/2010,101.1721
30/06/2010,101.5657
31/07/2010,101.7185
31/08/2010,102.0288
30/09/2010,102.0703
31/10/2010,101.9895
30/11/2010,102.2010
31/12/2010,102.3527
31/01/2011,102.8042
28/02/2011,103.1820
31/03/2011,103.5653
30/04/2011,104.2268
31/05/2011,104.2703
30/06/2011,104.5192
31/07/2011,105.1076
31/08/2011,105.3941
30/09/2011,105.8562
31/10/2011,106.2637
30/11/2011,106.9661
31/12/2011,107.2417
31/01/2012,107.2015
29/02/2012,107.5015
31/03/2012,107.9551
30/04/2012,108.4530
31/05/2012,108.5693
30/06/2012,108.6756
31/07/2012,108.5315
31/08/2012,109.0840
30/09/2012,109.8106
31/10/2012,109.7183
30/11/2012,109.8357
31/12/2012,110.1145
31/01/2013,110.3167
28/02/2013,110.1384
31/03/2013,110.7447
30/04/2013,110.9460
31/05/2013,111.2185
30/06/2013,111.6385
31/07/2013,112.0640
31/08/2013,112.6648
30/09/2013,112.9416
31/10/2013,113.0604
30/11/2013,113.0924
31/12/2013,113.2733
31/01/2014,113.6986
28/02/2014,114.2941
31/03/2014,114.4582
30/04/2014,114.8515
31/05/2014,115.1527
30/06/2014,115.4552
31/07/2014,115.8259
31/08/2014,115.7098
30/09/2014,116.0698
31/10/2014,116.5832
30/11/2014,116.6765
31/12/2014,116.9222
31/01/2015,117.1614
28/02/2015,117.4252
31/03/2015,117.8636
30/04/2015,118.3240
31/05/2015,119.0322
30/06/2015,119.5185
31/07/2015,119.9890
31/08/2015,120.4329
30/09/2015,120.6405
31/10/2015,120.8867
30/11/2015,121.5418
31/12/2015,122.0466
31/01/2016,122.5184
29/02/2016,122.6558
31/03/2016,122.8751
30/04/2016,122.9420
31/05/2016,123.2529
30/06/2016,123.5164
31/07/2016,123.5674
31/08/2016,124.0167
30/09/2016,124.4451
31/10/2016,125.0546
30/11/2016,125.5980
31/12/2016,125.9608
31/01/2017,126.2782
28/02/2017,126.6318
31/03/2017,127.7079
30/04/2017,127.4708
31/05/2017,126.9991
30/06/2017,126.9188
31/07/2017,127.1006
31/08/2017,128.0022
30/09/2017,128.1325
31/10/2017,127.6372
30/11/2017,127.5088
31/12/2017,127.6422
31/01/2018,127.8526
28/02/2018,128.1389
31/03/2018,128.1435
30/04/2018,128.0629
31/05/2018,128.1726
30/06/2018,128.7745
31/07/2018,129.1533
31/08/2018,129.3941
30/09/2018,129.7728
31/10/2018,130.0087
30/11/2018,130.2561
31/12/2018,130.4195
31/01/2019,130.5836
28/02/2019,130.7111
31/03/2019,131.0140
30/04/2019,131.3706
31/05/2019,131.6522
30/06/2019,131.7598
31/07/2019,131.8616
31/08/2019,132.0573
30/09/2019,132.1698
31/10/2019,132.4623
30/11/2019,132.6688
31/12/2019,132.8816
31/01/2020,133.0689
29/02/2020,133.2196
31/03/2020,133.4075
30/04/2020,133.6237
31/05/2020,133.9732
30/06/2020,133.8824
31/07/2020,134.3030
31/08/2020,134.2889
30/09/2020,134.5751
31/10/2020,134.7597
30/11/2020,135.5023
31/12/2020,135.4927
31/01/2021,136.6358
28/02/2021,136.4326
31/03/2021,136.8821
30/04/2021,136.8089
31/05/2021,137.2271
30/06/2021,138.2449
31/07/2021,139.4200
31/08/2021,140.9448
30/09/2021,141.6212
31/10/2021,142.6206
30/11/2021,143.1543
31/12/2021,144.1964
