DATES,Ryr
30/07/2009,6.677
31/07/2009,6.543
03/08/2009,6.542
04/08/2009,6.444
05/08/2009,6.381
06/08/2009,6.444
07/08/2009,6.383
10/08/2009,6.453
11/08/2009,6.566
12/08/2009,6.566
13/08/2009,6.492
14/08/2009,6.64
17/08/2009,6.59
18/08/2009,6.467
19/08/2009,6.462
20/08/2009,6.467
21/08/2009,6.418
24/08/2009,6.369
25/08/2009,6.355
26/08/2009,6.393
27/08/2009,6.393
28/08/2009,6.393
31/08/2009,6.393
01/09/2009,6.441
02/09/2009,6.416
03/09/2009,6.344
04/09/2009,6.392
07/09/2009,6.344
08/09/2009,6.248
09/09/2009,6.295
10/09/2009,6.176
14/09/2009,6.083
15/09/2009,6.073
16/09/2009,5.953
17/09/2009,5.957
18/09/2009,5.989
21/09/2009,6.058
22/09/2009,6.03
23/09/2009,6.081
24/09/2009,6.058
25/09/2009,6.011
28/09/2009,6.034
29/09/2009,5.919
30/09/2009,5.828
01/10/2009,5.84
02/10/2009,5.828
05/10/2009,5.627
06/10/2009,5.583
07/10/2009,5.591
12/10/2009,5.431
13/10/2009,5.465
14/10/2009,5.566
15/10/2009,5.674
16/10/2009,5.78
19/10/2009,5.792
20/10/2009,5.825
21/10/2009,5.847
22/10/2009,5.892
23/10/2009,5.926
26/10/2009,5.984
27/10/2009,6.338
28/10/2009,6.289
29/10/2009,6.006
30/10/2009,5.914
02/11/2009,6.053
03/11/2009,6.006
04/11/2009,5.959
05/11/2009,5.913
06/11/2009,5.867
09/11/2009,5.777
10/11/2009,5.731
11/11/2009,5.731
12/11/2009,5.755
13/11/2009,5.731
16/11/2009,5.686
17/11/2009,5.686
18/11/2009,5.703
19/11/2009,5.672
20/11/2009,5.663
23/11/2009,5.618
24/11/2009,5.574
25/11/2009,5.53
26/11/2009,5.486
27/11/2009,5.684
30/11/2009,5.609
01/12/2009,5.617
02/12/2009,5.632
03/12/2009,5.683
04/12/2009,5.75
07/12/2009,5.795
09/12/2009,5.772
10/12/2009,5.817
11/12/2009,5.862
14/12/2009,5.932
15/12/2009,6.047
16/12/2009,5.977
17/12/2009,5.953
18/12/2009,5.93
21/12/2009,5.907
22/12/2009,5.953
23/12/2009,5.999
28/12/2009,5.999
29/12/2009,6.045
30/12/2009,5.975
04/01/2010,5.975
05/01/2010,5.942
06/01/2010,5.882
07/01/2010,5.928
08/01/2010,5.891
11/01/2010,5.904
12/01/2010,5.961
13/01/2010,5.944
14/01/2010,6.002
15/01/2010,6.019
18/01/2010,6.019
19/01/2010,5.973
20/01/2010,6
21/01/2010,6.113
22/01/2010,6.113
25/01/2010,6.018
26/01/2010,6.046
27/01/2010,6.027
28/01/2010,6.256
29/01/2010,6.339
01/02/2010,6.255
02/02/2010,6.279
03/02/2010,6.377
04/02/2010,6.475
05/02/2010,6.525
08/02/2010,6.475
09/02/2010,6.327
10/02/2010,6.278
11/02/2010,6.157
12/02/2010,6.062
15/02/2010,6.062
16/02/2010,6.015
17/02/2010,6.021
18/02/2010,6.132
19/02/2010,6.075
22/02/2010,6.061
23/02/2010,6.228
24/02/2010,6.046
25/02/2010,5.989
26/02/2010,5.804
01/03/2010,5.712
02/03/2010,5.849
03/03/2010,5.905
04/03/2010,5.895
05/03/2010,5.825
08/03/2010,5.77
09/03/2010,5.72
10/03/2010,5.87
11/03/2010,5.847
12/03/2010,5.801
15/03/2010,5.755
16/03/2010,5.764
17/03/2010,5.8
18/03/2010,5.8
19/03/2010,5.823
22/03/2010,5.777
23/03/2010,5.754
24/03/2010,5.845
25/03/2010,5.891
26/03/2010,5.845
29/03/2010,5.891
30/03/2010,5.821
31/03/2010,5.821
05/04/2010,5.774
06/04/2010,5.797
07/04/2010,5.82
08/04/2010,5.819
09/04/2010,5.842
12/04/2010,5.787
13/04/2010,5.732
14/04/2010,5.659
15/04/2010,5.658
16/04/2010,5.613
19/04/2010,5.613
20/04/2010,5.626
21/04/2010,5.59
22/04/2010,5.612
23/04/2010,5.657
26/04/2010,5.634
27/04/2010,5.702
28/04/2010,5.724
29/04/2010,5.747
30/04/2010,5.701
03/05/2010,5.669
04/05/2010,5.774
05/05/2010,5.769
06/05/2010,5.884
07/05/2010,5.861
10/05/2010,5.768
11/05/2010,5.768
12/05/2010,5.722
13/05/2010,5.744
14/05/2010,5.813
17/05/2010,5.767
18/05/2010,5.767
19/05/2010,5.812
20/05/2010,5.835
21/05/2010,5.812
24/05/2010,5.78
25/05/2010,5.794
26/05/2010,5.769
27/05/2010,5.742
28/05/2010,5.742
31/05/2010,5.714
01/06/2010,5.742
02/06/2010,5.704
03/06/2010,5.627
04/06/2010,5.649
07/06/2010,5.668
08/06/2010,5.672
09/06/2010,5.694
10/06/2010,5.662
11/06/2010,5.663
14/06/2010,5.63
15/06/2010,5.602
16/06/2010,5.555
17/06/2010,5.557
18/06/2010,5.556
21/06/2010,5.53
22/06/2010,5.511
23/06/2010,5.511
24/06/2010,5.578
25/06/2010,5.578
30/06/2010,5.416
01/07/2010,5.442
02/07/2010,5.464
05/07/2010,5.554
06/07/2010,5.42
07/07/2010,5.331
08/07/2010,5.326
09/07/2010,5.319
12/07/2010,5.3
13/07/2010,5.275
14/07/2010,5.29
15/07/2010,5.199
16/07/2010,5.166
19/07/2010,5.145
20/07/2010,5.049
21/07/2010,5.197
22/07/2010,5.069
23/07/2010,5.068
26/07/2010,5.111
27/07/2010,4.983
02/08/2010,4.94
03/08/2010,4.94
04/08/2010,4.918
05/08/2010,4.887
06/08/2010,4.814
09/08/2010,4.641
10/08/2010,4.671
11/08/2010,4.56
12/08/2010,4.609
13/08/2010,4.579
16/08/2010,4.569
17/08/2010,4.489
18/08/2010,4.488
19/08/2010,4.468
20/08/2010,4.487
23/08/2010,4.399
24/08/2010,4.437
25/08/2010,4.486
26/08/2010,4.605
27/08/2010,4.665
31/08/2010,4.736
01/09/2010,4.663
02/09/2010,4.602
03/09/2010,4.602
06/09/2010,4.582
07/09/2010,4.583
08/09/2010,4.682
09/09/2010,4.763
10/09/2010,4.722
13/09/2010,4.693
14/09/2010,4.721
15/09/2010,4.72
16/09/2010,4.618
17/09/2010,4.781
20/09/2010,4.801
21/09/2010,4.77
22/09/2010,4.738
23/09/2010,4.769
24/09/2010,4.791
27/09/2010,4.697
28/09/2010,4.565
29/09/2010,4.594
30/09/2010,4.608
01/10/2010,4.603
04/10/2010,4.553
05/10/2010,4.593
06/10/2010,4.632
07/10/2010,4.499
11/10/2010,4.672
12/10/2010,4.391
13/10/2010,4.41
14/10/2010,4.39
15/10/2010,4.509
18/10/2010,4.488
19/10/2010,4.608
20/10/2010,4.587
21/10/2010,4.587
22/10/2010,4.466
25/10/2010,4.446
26/10/2010,4.406
27/10/2010,4.396
28/10/2010,4.465
29/10/2010,4.366
02/11/2010,4.424
03/11/2010,4.483
04/11/2010,4.423
05/11/2010,4.422
08/11/2010,4.582
09/11/2010,4.581
10/11/2010,4.723
11/11/2010,4.656
12/11/2010,4.775
15/11/2010,4.869
16/11/2010,4.953
17/11/2010,4.952
18/11/2010,5.016
19/11/2010,4.977
22/11/2010,4.919
23/11/2010,5.036
24/11/2010,4.971
25/11/2010,4.971
26/11/2010,4.956
29/11/2010,4.939
30/11/2010,5.078
01/12/2010,5.12
02/12/2010,5.033
03/12/2010,5.033
06/12/2010,5.033
07/12/2010,5.033
09/12/2010,5.096
10/12/2010,5.01
13/12/2010,5.429
14/12/2010,5.227
15/12/2010,5.428
16/12/2010,5.45
17/12/2010,5.519
20/12/2010,5.337
21/12/2010,5.258
22/12/2010,5.403
23/12/2010,5.336
27/12/2010,5.335
28/12/2010,5.335
29/12/2010,5.228
30/12/2010,5.276
03/01/2011,5.201
04/01/2011,5.112
05/01/2011,5.156
06/01/2011,5.221
07/01/2011,5.243
10/01/2011,5.199
11/01/2011,5.133
12/01/2011,5.121
13/01/2011,5.153
14/01/2011,5.131
17/01/2011,5.175
18/01/2011,5.109
19/01/2011,5.196
20/01/2011,5.196
21/01/2011,5.14
24/01/2011,5.107
25/01/2011,5.151
26/01/2011,5.15
27/01/2011,5.172
28/01/2011,5.205
31/01/2011,5.194
01/02/2011,5.238
02/02/2011,5.148
03/02/2011,5.237
04/02/2011,5.259
07/02/2011,5.281
08/02/2011,5.236
09/02/2011,5.393
10/02/2011,5.352
11/02/2011,5.404
14/02/2011,5.506
15/02/2011,5.483
16/02/2011,5.375
17/02/2011,5.368
18/02/2011,5.404
21/02/2011,5.399
22/02/2011,5.363
23/02/2011,5.373
24/02/2011,5.366
25/02/2011,6.068
28/02/2011,5.275
01/03/2011,5.23
02/03/2011,5.206
03/03/2011,5.195
04/03/2011,5.193
07/03/2011,5.224
08/03/2011,5.228
09/03/2011,5.205
10/03/2011,5.215
11/03/2011,5.193
14/03/2011,5.271
15/03/2011,5.237
16/03/2011,5.315
17/03/2011,5.225
18/03/2011,5.224
21/03/2011,5.36
22/03/2011,5.382
23/03/2011,5.427
24/03/2011,5.427
25/03/2011,5.457
28/03/2011,5.48
29/03/2011,5.353
30/03/2011,5.495
31/03/2011,5.504
01/04/2011,5.472
04/04/2011,5.495
05/04/2011,5.541
06/04/2011,5.494
07/04/2011,5.447
08/04/2011,5.479
11/04/2011,5.516
12/04/2011,5.532
13/04/2011,5.562
14/04/2011,5.752
15/04/2011,5.704
18/04/2011,5.751
19/04/2011,5.715
20/04/2011,5.722
25/04/2011,5.769
26/04/2011,5.925
27/04/2011,6.018
28/04/2011,5.895
29/04/2011,5.749
03/05/2011,5.748
04/05/2011,5.605
05/05/2011,5.492
06/05/2011,5.406
09/05/2011,5.371
10/05/2011,5.468
11/05/2011,5.453
