DATES,STX
02/01/2006,4802.25
03/01/2006,4807.74
04/01/2006,4889.63
05/01/2006,4911.53
06/01/2006,4820.78
09/01/2006,4781.77
10/01/2006,4761.74
11/01/2006,4651.8
12/01/2006,4676.84
13/01/2006,4653
16/01/2006,4602.95
17/01/2006,4740.42
18/01/2006,4853.38
19/01/2006,4904.42
20/01/2006,4998.83
23/01/2006,4951.74
24/01/2006,5009.36
25/01/2006,5119.63
26/01/2006,5201
27/01/2006,5422.96
30/01/2006,5459.96
31/01/2006,5680.42
01/02/2006,5633.51
02/02/2006,5915.82
03/02/2006,6130.44
06/02/2006,6314.38
07/02/2006,6483.58
08/02/2006,6289.8
09/02/2006,6114.81
10/02/2006,5889.66
13/02/2006,5837.01
14/02/2006,5976.93
15/02/2006,6043.49
16/02/2006,5899.68
17/02/2006,6002.7
20/02/2006,6030.41
21/02/2006,6062.6
22/02/2006,6076.3
23/02/2006,6075.93
24/02/2006,6064.58
27/02/2006,6094.41
28/02/2006,6105.53
01/03/2006,6080.68
02/03/2006,6173.28
03/03/2006,6199.54
06/03/2006,6113.94
07/03/2006,5966.82
08/03/2006,5833.82
09/03/2006,5734.91
10/03/2006,5938.5
13/03/2006,5945.85
14/03/2006,5718.06
15/03/2006,5734.13
16/03/2006,5761.73
17/03/2006,5967.41
20/03/2006,5966.83
21/03/2006,5723.26
22/03/2006,5812.19
23/03/2006,5868.97
24/03/2006,5810.15
27/03/2006,5817.96
28/03/2006,5874.57
29/03/2006,5878.5
30/03/2006,5943.76
31/03/2006,5947.36
03/04/2006,5920.5
04/04/2006,5933.53
05/04/2006,5975.25
06/04/2006,6081.27
07/04/2006,6067.81
10/04/2006,6192.89
11/04/2006,6333.83
12/04/2006,6218.35
13/04/2006,6470.08
14/04/2006,6470.08
17/04/2006,6470.08
18/04/2006,6635.01
19/04/2006,6813.09
20/04/2006,6804.18
21/04/2006,6783.25
24/04/2006,6991.78
25/04/2006,7016.15
26/04/2006,7063.08
27/04/2006,7089.02
28/04/2006,6963.92
01/05/2006,7142.92
02/05/2006,7142.92
03/05/2006,7184.55
04/05/2006,7006.15
05/05/2006,7053.87
08/05/2006,7121.28
09/05/2006,7284.64
10/05/2006,7477.62
11/05/2006,7612.8
12/05/2006,7763.85
15/05/2006,7689.84
16/05/2006,7581.13
17/05/2006,7523.43
18/05/2006,7335.43
19/05/2006,7204.06
22/05/2006,7142.34
23/05/2006,7175.1
24/05/2006,7441.47
25/05/2006,7333.28
26/05/2006,7423.56
29/05/2006,7503.05
30/05/2006,7452.74
31/05/2006,7306.89
01/06/2006,7211.67
02/06/2006,7396.98
05/06/2006,7700.66
06/06/2006,7750.74
07/06/2006,7595.07
08/06/2006,7758.61
09/06/2006,7655.94
12/06/2006,7800.73
13/06/2006,7768.51
14/06/2006,7666.54
15/06/2006,7677.78
16/06/2006,7860.99
19/06/2006,7892.96
20/06/2006,7849.42
21/06/2006,7788.69
22/06/2006,7812.04
23/06/2006,7851.42
26/06/2006,7874.28
27/06/2006,7934.44
28/06/2006,7871.94
29/06/2006,7930.69
30/06/2006,7930.69
03/07/2006,8155.8
04/07/2006,8288.45
05/07/2006,8392.17
06/07/2006,8457.14
07/07/2006,8527.51
10/07/2006,8534.61
11/07/2006,8559.34
12/07/2006,8724.14
13/07/2006,8806.32
14/07/2006,8754.87
17/07/2006,8856.76
18/07/2006,8684.22
19/07/2006,8494.78
20/07/2006,8614.77
21/07/2006,8565.54
24/07/2006,8503.6
25/07/2006,8509.43
26/07/2006,8685.56
27/07/2006,8807.47
28/07/2006,8826.83
31/07/2006,8826.83
01/08/2006,8973.69
02/08/2006,8908.97
03/08/2006,8938.28
04/08/2006,8932.55
07/08/2006,9064.81
08/08/2006,9333.94
09/08/2006,9309.41
10/08/2006,9382.3
11/08/2006,9389.33
14/08/2006,9667.33
15/08/2006,9659.36
16/08/2006,9671.88
17/08/2006,9553.3
18/08/2006,9576.19
21/08/2006,9805.12
22/08/2006,9925.11
23/08/2006,9835.25
24/08/2006,9872.45
25/08/2006,9855.29
28/08/2006,9906.65
29/08/2006,9912.87
30/08/2006,9849.78
31/08/2006,9849.78
01/09/2006,10011.95
04/09/2006,10193.75
05/09/2006,10270.27
06/09/2006,10386.74
07/09/2006,10408.86
08/09/2006,10409.95
11/09/2006,10458.23
12/09/2006,10305.31
13/09/2006,10245.4
14/09/2006,10299.44
15/09/2006,10185.69
18/09/2006,10118.28
19/09/2006,10230.54
20/09/2006,10181.01
21/09/2006,10091.86
22/09/2006,10139.46
25/09/2006,10166.83
26/09/2006,10137.48
27/09/2006,10253.59
28/09/2006,10343.77
29/09/2006,10346.61
02/10/2006,10390.34
03/10/2006,10331.02
04/10/2006,10169.81
05/10/2006,9919.87
06/10/2006,10082.02
09/10/2006,10143.52
10/10/2006,10117.03
11/10/2006,10110.66
12/10/2006,10254.39
13/10/2006,10371.74
16/10/2006,10483.41
17/10/2006,10684.17
18/10/2006,10707.01
19/10/2006,10806.15
20/10/2006,10834.57
23/10/2006,10719.34
24/10/2006,10642.65
25/10/2006,10638.87
26/10/2006,10731.14
27/10/2006,10674.82
30/10/2006,10757.6
31/10/2006,10716.15
01/11/2006,10694.54
02/11/2006,10694.54
03/11/2006,10825.64
06/11/2006,10879.64
07/11/2006,11041.35
08/11/2006,11180.31
09/11/2006,11125.35
10/11/2006,11302.03
13/11/2006,11162.99
14/11/2006,11135.32
15/11/2006,11193.68
16/11/2006,11184.41
17/11/2006,11098.92
20/11/2006,11002.26
21/11/2006,11071.87
22/11/2006,11164.64
23/11/2006,11150.2
24/11/2006,11270.33
27/11/2006,11408.83
28/11/2006,11417.67
29/11/2006,11320.47
30/11/2006,11395.82
01/12/2006,11482.41
04/12/2006,11535.41
05/12/2006,11649.51
06/12/2006,11713.62
07/12/2006,11848.98
08/12/2006,11957.39
11/12/2006,11957.39
12/12/2006,12280.47
13/12/2006,12324.97
14/12/2006,12360.35
15/12/2006,12534.3
18/12/2006,12864.06
19/12/2006,13143.57
20/12/2006,12846.41
21/12/2006,12644.94
22/12/2006,12513.43
25/12/2006,12633.77
26/12/2006,12633.77
27/12/2006,12768.69
28/12/2006,12918.45
29/12/2006,12884.2
01/01/2007,12884.2
02/01/2007,12952.67
03/01/2007,12862.02
04/01/2007,12819
05/01/2007,12644.29
08/01/2007,12438.51
09/01/2007,12360.23
10/01/2007,12720.62
11/01/2007,13057.77
12/01/2007,13025.52
15/01/2007,13130.38
16/01/2007,13208.85
17/01/2007,13135.67
18/01/2007,13091.16
19/01/2007,13276.66
22/01/2007,13427.22
23/01/2007,13579.41
24/01/2007,13629.15
25/01/2007,13737.81
26/01/2007,13707.73
29/01/2007,13639.9
30/01/2007,13563.22
31/01/2007,13633.78
01/02/2007,13674.3
02/02/2007,13563.93
05/02/2007,13623.17
06/02/2007,13733.89
07/02/2007,13860.28
08/02/2007,13965.82
09/02/2007,14200.53
12/02/2007,14218.4
13/02/2007,14437.18
14/02/2007,14549.69
15/02/2007,14586.89
16/02/2007,14560.41
19/02/2007,14645.3
20/02/2007,14694.83
21/02/2007,14935.52
22/02/2007,15261.73
23/02/2007,15513.22
26/02/2007,15605.9
27/02/2007,15280.51
28/02/2007,15150.74
01/03/2007,15266.96
02/03/2007,15238.18
05/03/2007,15020.61
06/03/2007,15260.07
07/03/2007,15529.88
08/03/2007,15760.21
09/03/2007,15685.08
12/03/2007,15868.66
13/03/2007,15837.03
14/03/2007,15706.2
15/03/2007,15920.27
16/03/2007,15911.79
19/03/2007,16141.99
20/03/2007,16204.45
21/03/2007,16183.17
22/03/2007,16265.79
23/03/2007,16338.86
26/03/2007,16470.48
27/03/2007,16572.57
28/03/2007,16762.79
29/03/2007,17019.05
30/03/2007,17152.82
02/04/2007,17520.63
03/04/2007,17911.83
04/04/2007,18141.31
05/04/2007,18141.31
06/04/2007,18141.31
09/04/2007,18441.19
10/04/2007,18946.15
11/04/2007,18848.86
12/04/2007,19041.61
13/04/2007,19412.29
16/04/2007,19924.33
17/04/2007,20467.79
18/04/2007,20661.38
19/04/2007,20454.23
20/04/2007,20656.68
23/04/2007,20729.65
24/04/2007,20752.13
25/04/2007,20703.38
26/04/2007,20692.03
27/04/2007,20781.77
30/04/2007,20674.78
01/05/2007,20674.78
02/05/2007,20699.92
03/05/2007,20945.94
04/05/2007,21476.45
07/05/2007,22166.68
08/05/2007,22493.97
09/05/2007,22995.09
10/05/2007,22969.65
11/05/2007,22964.42
14/05/2007,22303.35
15/05/2007,22171.89
16/05/2007,21556.22
17/05/2007,21473.47
18/05/2007,21971.16
21/05/2007,22076.12
22/05/2007,21559.5
23/05/2007,21757.18
24/05/2007,21328.24
25/05/2007,21248.31
28/05/2007,20741.58
29/05/2007,20066.77
30/05/2007,18543.82
31/05/2007,20129.5
01/06/2007,20732.66
04/06/2007,20913.05
05/06/2007,21340.54
06/06/2007,21058.97
07/06/2007,20880.33
08/06/2007,20789.75
11/06/2007,21061.54
12/06/2007,21054.97
13/06/2007,21493.99
14/06/2007,21926.54
15/06/2007,22160.68
18/06/2007,22192.02
19/06/2007,22190.02
20/06/2007,22153.86
21/06/2007,22096.56
22/06/2007,22140.53
25/06/2007,22268.03
26/06/2007,22213.99
27/06/2007,22191.94
28/06/2007,22365.9
29/06/2007,22365.9
02/07/2007,22608.17
03/07/2007,22591.51
04/07/2007,22754.15
05/07/2007,22857.46
06/07/2007,22936.07
09/07/2007,23073.84
10/07/2007,22845.48
11/07/2007,22927.77
12/07/2007,23211.65
13/07/2007,23535.09
16/07/2007,23726.57
17/07/2007,23695.81
18/07/2007,23578.92
19/07/2007,23624
20/07/2007,23633.15
23/07/2007,23628.24
24/07/2007,23789.75
25/07/2007,23623.87
26/07/2007,23261.16
27/07/2007,23178.21
30/07/2007,23145.93
31/07/2007,23418.17
01/08/2007,23057.97
02/08/2007,23043.56
03/08/2007,22950.22
06/08/2007,22561.91
07/08/2007,22785.72
08/08/2007,23055.91
09/08/2007,22643.92
10/08/2007,22217.08
13/08/2007,22283.74
14/08/2007,21627.25
15/08/2007,20997.85
16/08/2007,19550.35
17/08/2007,20652.97
20/08/2007,20438.69
21/08/2007,20545.27
22/08/2007,21124.14
23/08/2007,20970.59
24/08/2007,21051.48
27/08/2007,20944.57
28/08/2007,20423.76
29/08/2007,20549.55
30/08/2007,20549.55
31/08/2007,20846.26
03/09/2007,20853.82
04/09/2007,20685.49
05/09/2007,20166.28
06/09/2007,20268.06
07/09/2007,19653.57
10/09/2007,18818.48
11/09/2007,19412.41
12/09/2007,19548.81
13/09/2007,19782.2
14/09/2007,19624.61
17/09/2007,19516.92
18/09/2007,20165.86
19/09/2007,20999.8
20/09/2007,20762.8
21/09/2007,21114.45
24/09/2007,21352.51
