DATES,rEER
199101,100.4222208
199102,95.28984638
199103,89.72701949
199104,94.47044222
199105,111.1792609
199106,108.1258402
199107,95.18069218
199108,86.85149377
199109,83.26991418
199110,91.8886512
199111,98.79612214
199112,93.86617779
199201,89.68902763
199202,84.37015644
199203,76.85744789
199204,80.33830982
199205,86.67572905
199206,87.859234
199207,89.30956871
199208,91.58243832
199209,95.56153602
199210,103.5105626
199211,102.5922614
199212,99.14786948
199301,98.94020043
199302,99.80304149
199303,100.8916011
199304,102.4056125
199305,102.7456394
199306,102.5761885
199307,101.1181491
199308,100.8041795
199309,101.868179
199310,102.6515584
199311,102.2768436
199312,100.1858749
199401,87.16861488
199402,86.79966555
199403,85.80001404
199404,85.76819058
199405,86.17219866
199406,86.87497825
199407,87.13982163
199408,88.91111899
199409,91.52464284
199410,91.27590978
199411,88.76815694
199412,86.22303494
199501,89.2257289
199502,90.02111956
199503,91.41558114
199504,92.47753907
199505,92.60498862
199506,91.61380506
199507,90.49391313
199508,89.74943443
199509,90.13013381
199510,90.32813062
199511,91.16675498
199512,91.14103038
199601,91.49782736
199602,90.92099712
199603,90.31372315
199604,90.59769576
199605,91.61910045
199606,91.95925326
199607,90.79378557
199608,91.62679206
199609,92.87005507
199610,94.44952047
199611,95.28500013
199612,93.7958629
199701,94.82659635
199702,94.88980817
199703,93.03573024
199704,93.99813323
199705,93.60727335
199706,92.04306881
199707,90.3573846
199708,89.9734763
199709,90.1359668
199710,90.64818956
199711,91.58016837
199712,88.58864634
199801,88.0419524
199802,89.51576004
199803,88.99563595
199804,89.21232472
199805,89.22403644
199806,89.89876053
199807,89.56700005
199808,90.48450323
199809,94.58565509
199810,96.09353903
199811,97.18370083
199812,98.29615029
199901,101.1287608
199902,103.7751498
199903,101.7106
199904,101.1597094
199905,99.89750026
199906,98.51192835
199907,97.15417429
199908,98.90010987
199909,100.8077712
199910,102.4316261
199911,101.8384498
199912,101.710348
200001,103.2566513
200002,102.0159516
200003,101.0629691
200004,101.3298554
200005,100.7425971
200006,100.811431
200007,99.84126954
200008,98.92143564
200009,98.94299828
200010,98.75912047
200011,99.25185968
200012,99.28264043
200101,100.1656716
200102,100.1310968
200103,98.46087511
200104,99.59785931
200105,100.4741078
200106,97.85979012
200107,96.39524321
200108,97.0971703
200109,97.27271825
200110,96.07800724
200111,96.03690449
200112,96.37984946
200201,97.42272845
200202,98.14164436
