DATES,CPIbs
31/12/2021,278.802
30/11/2021,277.948
31/10/2021,276.589
30/09/2021,274.310
31/08/2021,273.567
31/07/2021,273.003
30/06/2021,271.696
31/05/2021,269.195
30/04/2021,267.054
31/03/2021,264.877
28/02/2021,263.014
31/01/2021,261.582
31/12/2020,260.474
30/11/2020,260.229
31/10/2020,260.388
30/09/2020,260.280
31/08/2020,259.918
31/07/2020,259.101
30/06/2020,257.797
31/05/2020,256.394
30/04/2020,256.389
31/03/2020,258.115
29/02/2020,258.678
31/01/2020,257.971
31/12/2019,256.974
30/11/2019,257.208
31/10/2019,257.346
30/09/2019,256.759
31/08/2019,256.558
31/07/2019,256.571
30/06/2019,256.143
31/05/2019,256.092
30/04/2019,255.548
31/03/2019,254.202
28/02/2019,252.776
31/01/2019,251.712
31/12/2018,251.233
30/11/2018,252.038
31/10/2018,252.885
30/09/2018,252.439
31/08/2018,252.146
31/07/2018,252.006
30/06/2018,251.989
31/05/2018,251.588
30/04/2018,250.546
31/03/2018,249.554
28/02/2018,248.991
31/01/2018,247.867
31/12/2017,246.524
30/11/2017,246.669
31/10/2017,246.663
30/09/2017,246.819
31/08/2017,245.519
31/07/2017,244.786
30/06/2017,244.955
31/05/2017,244.733
30/04/2017,244.524
31/03/2017,243.801
28/02/2017,243.603
31/01/2017,242.839
31/12/2016,241.432
30/11/2016,241.353
31/10/2016,241.729
30/09/2016,241.428
31/08/2016,240.849
31/07/2016,240.628
30/06/2016,241.018
31/05/2016,240.229
30/04/2016,239.261
31/03/2016,238.132
29/02/2016,237.111
31/01/2016,236.916
31/12/2015,236.525
30/11/2015,237.336
31/10/2015,237.838
30/09/2015,237.945
31/08/2015,238.316
31/07/2015,238.654
30/06/2015,238.638
31/05/2015,237.805
30/04/2015,236.599
31/03/2015,236.119
28/02/2015,234.722
31/01/2015,233.707
31/12/2014,234.812
30/11/2014,236.151
31/10/2014,237.433
30/09/2014,238.031
31/08/2014,237.852
31/07/2014,238.250
30/06/2014,238.343
31/05/2014,237.900
30/04/2014,237.072
31/03/2014,236.293
28/02/2014,234.781
31/01/2014,233.916
31/12/2013,233.049
30/11/2013,233.069
31/10/2013,233.546
30/09/2013,234.149
31/08/2013,233.877
31/07/2013,233.596
30/06/2013,233.504
31/05/2013,232.945
30/04/2013,232.531
31/03/2013,232.773
28/02/2013,232.166
31/01/2013,230.280
31/12/2012,229.601
30/11/2012,230.221
31/10/2012,231.317
30/09/2012,231.407
31/08/2012,230.379
31/07/2012,229.104
30/06/2012,229.478
31/05/2012,229.815
30/04/2012,230.085
31/03/2012,229.392
29/02/2012,227.663
31/01/2012,226.665
31/12/2011,225.672
30/11/2011,226.230
31/10/2011,226.421
30/09/2011,226.889
31/08/2011,226.545
31/07/2011,225.922
30/06/2011,225.722
31/05/2011,225.964
30/04/2011,224.906
31/03/2011,223.467
28/02/2011,221.309
31/01/2011,220.223
31/12/2010,219.179
30/11/2010,218.803
31/10/2010,218.711
30/09/2010,218.439
31/08/2010,218.312
31/07/2010,218.011
30/06/2010,217.965
31/05/2010,218.178
30/04/2010,218.009
31/03/2010,217.631
28/02/2010,216.741
31/01/2010,216.687
31/12/2009,215.949
30/11/2009,216.330
31/10/2009,216.177
30/09/2009,215.969
31/08/2009,215.834
31/07/2009,215.351
30/06/2009,215.693
31/05/2009,213.856
30/04/2009,213.240
31/03/2009,212.709
28/02/2009,212.193
31/01/2009,211.143
31/12/2008,210.228
30/11/2008,212.425
31/10/2008,216.573
30/09/2008,218.783
31/08/2008,219.086
31/07/2008,219.964
30/06/2008,218.815
31/05/2008,216.632
30/04/2008,214.823
31/03/2008,213.528
29/02/2008,211.693
31/01/2008,211.080
31/12/2007,210.036
30/11/2007,210.177
31/10/2007,208.936
30/09/2007,208.490
31/08/2007,207.917
31/07/2007,208.299
30/06/2007,208.352
31/05/2007,207.949
30/04/2007,206.686
31/03/2007,205.352
28/02/2007,203.499
31/01/2007,202.416
31/12/2006,201.800
30/11/2006,201.500
31/10/2006,201.800
30/09/2006,202.900
31/08/2006,203.900
31/07/2006,203.500
30/06/2006,202.900
31/05/2006,202.500
30/04/2006,201.500
31/03/2006,199.800
28/02/2006,198.700
31/01/2006,198.300
31/12/2005,196.800
30/11/2005,197.600
31/10/2005,199.200
30/09/2005,198.800
31/08/2005,196.400
31/07/2005,195.400
30/06/2005,194.500
31/05/2005,194.400
30/04/2005,194.600
31/03/2005,193.300
28/02/2005,191.800
31/01/2005,190.700
31/12/2004,190.300
30/11/2004,191.000
31/10/2004,190.900
30/09/2004,189.900
31/08/2004,189.500
31/07/2004,189.400
30/06/2004,189.700
31/05/2004,189.100
30/04/2004,188.000
31/03/2004,187.400
29/02/2004,186.200
31/01/2004,185.200
31/12/2003,184.300
30/11/2003,184.500
31/10/2003,185.000
30/09/2003,185.200
31/08/2003,184.600
31/07/2003,183.900
30/06/2003,183.700
31/05/2003,183.500
30/04/2003,183.800
31/03/2003,184.200
