DATES,Rbs
09/02/2022,1.92
08/02/2022,1.954
07/02/2022,1.919
06/02/2022,1.91
04/02/2022,1.916
03/02/2022,1.836
02/02/2022,1.771
01/02/2022,1.795
31/01/2022,1.784
30/01/2022,1.791
28/01/2022,1.778
27/01/2022,1.803
26/01/2022,1.873
25/01/2022,1.776
24/01/2022,1.776
23/01/2022,1.772
21/01/2022,1.77
20/01/2022,1.811
19/01/2022,1.854
18/01/2022,1.875
17/01/2022,1.809
14/01/2022,1.793
13/01/2022,1.701
12/01/2022,1.752
11/01/2022,1.746
10/01/2022,1.755
09/01/2022,1.765
07/01/2022,1.765
06/01/2022,1.728
05/01/2022,1.7
04/01/2022,1.649
03/01/2022,1.637
02/01/2022,1.512
31/12/2021,1.512
30/12/2021,1.507
29/12/2021,1.556
28/12/2021,1.484
27/12/2021,1.477
26/12/2021,1.486
23/12/2021,1.493
22/12/2021,1.453
21/12/2021,1.467
20/12/2021,1.428
19/12/2021,1.377
17/12/2021,1.407
16/12/2021,1.424
15/12/2021,1.458
14/12/2021,1.441
13/12/2021,1.414
12/12/2021,1.492
10/12/2021,1.482
09/12/2021,1.497
08/12/2021,1.528
07/12/2021,1.482
06/12/2021,1.433
05/12/2021,1.38
03/12/2021,1.356
02/12/2021,1.444
01/12/2021,1.404
30/11/2021,1.456
29/11/2021,1.502
28/11/2021,1.531
26/11/2021,1.482
25/11/2021,1.596
24/11/2021,1.643
23/11/2021,1.676
22/11/2021,1.632
21/11/2021,1.558
19/11/2021,1.548
18/11/2021,1.587
17/11/2021,1.585
16/11/2021,1.64
15/11/2021,1.618
14/11/2021,1.573
12/11/2021,1.57
11/11/2021,1.578
10/11/2021,1.57
09/11/2021,1.439
08/11/2021,1.493
07/11/2021,1.462
05/11/2021,1.455
04/11/2021,1.53
03/11/2021,1.603
02/11/2021,1.547
01/11/2021,1.561
31/10/2021,1.577
29/10/2021,1.561
28/10/2021,1.578
27/10/2021,1.55
26/10/2021,1.61
25/10/2021,1.633
24/10/2021,1.648
22/10/2021,1.638
21/10/2021,1.696
20/10/2021,1.66
19/10/2021,1.641
18/10/2021,1.591
17/10/2021,1.589
15/10/2021,1.574
14/10/2021,1.516
13/10/2021,1.542
12/10/2021,1.572
11/10/2021,1.628
08/10/2021,1.612
07/10/2021,1.576
06/10/2021,1.528
05/10/2021,1.528
04/10/2021,1.481
03/10/2021,1.46
01/10/2021,1.465
30/09/2021,1.492
29/09/2021,1.524
28/09/2021,1.546
27/09/2021,1.491
26/09/2021,1.465
24/09/2021,1.453
23/09/2021,1.435
22/09/2021,1.304
21/09/2021,1.328
20/09/2021,1.312
19/09/2021,1.363
17/09/2021,1.363
16/09/2021,1.336
15/09/2021,1.304
14/09/2021,1.284
13/09/2021,1.326
12/09/2021,1.341
10/09/2021,1.343
09/09/2021,1.297
08/09/2021,1.336
07/09/2021,1.377
06/09/2021,1.336
03/09/2021,1.326
02/09/2021,1.285
01/09/2021,1.299
31/08/2021,1.307
30/08/2021,1.28
29/08/2021,1.309
27/08/2021,1.31
26/08/2021,1.354
25/08/2021,1.349
24/08/2021,1.297
23/08/2021,1.253
22/08/2021,1.26
20/08/2021,1.255
19/08/2021,1.243
18/08/2021,1.26
17/08/2021,1.267
16/08/2021,1.268
15/08/2021,1.283
13/08/2021,1.283
12/08/2021,1.361
11/08/2021,1.335
10/08/2021,1.354
09/08/2021,1.325
06/08/2021,1.305
05/08/2021,1.225
04/08/2021,1.18
03/08/2021,1.174
02/08/2021,1.179
30/07/2021,1.226
29/07/2021,1.266
28/07/2021,1.238
27/07/2021,1.239
26/07/2021,1.295
25/07/2021,1.283
23/07/2021,1.281
22/07/2021,1.277
21/07/2021,1.292
20/07/2021,1.222
19/07/2021,1.199
18/07/2021,1.269
16/07/2021,1.3
15/07/2021,1.301
14/07/2021,1.349
13/07/2021,1.418
12/07/2021,1.368
11/07/2021,1.363
09/07/2021,1.361
08/07/2021,1.294
07/07/2021,1.323
06/07/2021,1.352
05/07/2021,1.436
02/07/2021,1.431
01/07/2021,1.459
30/06/2021,1.468
29/06/2021,1.475
28/06/2021,1.482
27/06/2021,1.528
25/06/2021,1.524
24/06/2021,1.499
23/06/2021,1.485
22/06/2021,1.467
21/06/2021,1.497
20/06/2021,1.441
18/06/2021,1.443
17/06/2021,1.511
16/06/2021,1.581
15/06/2021,1.489
14/06/2021,1.497
13/06/2021,1.46
11/06/2021,1.454
10/06/2021,1.437
09/06/2021,1.492
08/06/2021,1.538
07/06/2021,1.569
06/06/2021,1.569
04/06/2021,1.557
03/06/2021,1.625
02/06/2021,1.589
01/06/2021,1.606
31/05/2021,1.61
28/05/2021,1.581
27/05/2021,1.606
26/05/2021,1.581
25/05/2021,1.56
24/05/2021,1.603
23/05/2021,1.62
21/05/2021,1.623
20/05/2021,1.628
19/05/2021,1.676
18/05/2021,1.64
17/05/2021,1.652
16/05/2021,1.633
14/05/2021,1.635
13/05/2021,1.659
12/05/2021,1.693
11/05/2021,1.622
10/05/2021,1.604
09/05/2021,1.584
07/05/2021,1.579
06/05/2021,1.57
05/05/2021,1.571
04/05/2021,1.591
03/05/2021,1.599
02/05/2021,1.626
30/04/2021,1.626
29/04/2021,1.641
28/04/2021,1.611
27/04/2021,1.625
26/04/2021,1.568
25/04/2021,1.563
23/04/2021,1.559
22/04/2021,1.542
21/04/2021,1.559
20/04/2021,1.566
19/04/2021,1.61
18/04/2021,1.578
16/04/2021,1.59
15/04/2021,1.574
14/04/2021,1.634
13/04/2021,1.62
12/04/2021,1.669
11/04/2021,1.674
09/04/2021,1.662
08/04/2021,1.626
07/04/2021,1.679
06/04/2021,1.658
05/04/2021,1.707
04/04/2021,1.705
02/04/2021,1.673
01/04/2021,1.673
31/03/2021,1.744
30/03/2021,1.71
29/03/2021,1.717
28/03/2021,1.672
26/03/2021,1.674
25/03/2021,1.633
24/03/2021,1.614
23/03/2021,1.622
22/03/2021,1.695
21/03/2021,1.707
19/03/2021,1.73
18/03/2021,1.706
17/03/2021,1.646
16/03/2021,1.621
15/03/2021,1.607
14/03/2021,1.637
12/03/2021,1.625
11/03/2021,1.535
10/03/2021,1.521
09/03/2021,1.528
08/03/2021,1.603
07/03/2021,1.599
05/03/2021,1.577
04/03/2021,1.557
03/03/2021,1.484
02/03/2021,1.398
01/03/2021,1.426
28/02/2021,1.395
26/02/2021,1.407
25/02/2021,1.53
24/02/2021,1.372
23/02/2021,1.343
22/02/2021,1.369
21/02/2021,1.362
19/02/2021,1.34
18/02/2021,1.297
17/02/2021,1.282
16/02/2021,1.311
15/02/2021,1.25
12/02/2021,1.21
11/02/2021,1.165
10/02/2021,1.124
09/02/2021,1.16
08/02/2021,1.176
07/02/2021,1.174
05/02/2021,1.169
04/02/2021,1.136
03/02/2021,1.139
02/02/2021,1.095
01/02/2021,1.079
